ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00102.jpeg.json,1205.0,362.0,1435.0,965.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00103.jpeg.json,1209.1951065063477,344.2691345214844,1417.1187362670898,942.0885314941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00104.jpeg.json,1211.503791809082,325.66790771484375,1412.2910079956055,923.2879028320312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00105.jpeg.json,1211.232307434082,323.4239807128906,1412.063102722168,919.2546081542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00106.jpeg.json,1198.0,283.0,1422.0,997.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00107.jpeg.json,1187.1753692626953,272.6719665527344,1412.6702117919922,965.8442687988281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00108.jpeg.json,1175.0348434448242,264.74627685546875,1412.1057815551758,941.5007934570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00109.jpeg.json,1164.130355834961,255.96444702148438,1398.789077758789,897.9746398925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00110.jpeg.json,1152.0,251.0,1387.0,867.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00111.jpeg.json,1143.976318359375,255.47930908203125,1384.9503173828125,848.1920776367188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00112.jpeg.json,1137.6429138183594,252.80398559570312,1377.8935852050781,842.0358581542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00113.jpeg.json,1119.1022491455078,258.96893310546875,1366.5784149169922,828.0867309570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00114.jpeg.json,1101.0,259.0,1344.0,831.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__11-sentando-com-casaco-na-cadeira/ann/00115.jpeg.json,1078.2816314697266,261.8641357421875,1343.880355834961,807.2830810546875
