ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00094.jpeg.json,1200.0,319.0,1501.0,1035.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00095.jpeg.json,1212.3408966064453,291.2195129394531,1488.0006561279297,1049.2422790527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00096.jpeg.json,1209.7193756103516,292.6519470214844,1491.5782318115234,1044.2627258300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00097.jpeg.json,1204.6324005126953,291.05987548828125,1488.1548309326172,1048.5808715820312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00098.jpeg.json,1203.8572998046875,284.4486999511719,1488.83203125,1052.6459045410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00099.jpeg.json,1206.6281433105469,282.88397216796875,1493.1686096191406,1052.0656127929688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00100.jpeg.json,1080.0,354.0,1372.0,971.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00101.jpeg.json,1088.9139862060547,340.9803161621094,1355.0489044189453,970.7153625488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00102.jpeg.json,1054.8453369140625,357.2235107421875,1351.001953125,958.662109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00103.jpeg.json,1033.3325653076172,363.364013671875,1324.5221710205078,952.69140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00104.jpeg.json,993.0,352.0,1333.0,945.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00105.jpeg.json,981.9782867431641,331.11334228515625,1303.874008178711,939.6952514648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00106.jpeg.json,963.0930328369141,325.9148864746094,1275.861312866211,935.8761291503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00107.jpeg.json,946.7021484375,311.7001953125,1228.21337890625,933.972412109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00108.jpeg.json,906.0,334.0,1206.0,954.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00109.jpeg.json,874.8226165771484,318.0719299316406,1180.9454498291016,945.7674255371094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00110.jpeg.json,846.4954376220703,317.4349060058594,1183.1099090576172,938.4709777832031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00111.jpeg.json,819.9158172607422,312.0562438964844,1183.7709503173828,937.3031311035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00112.jpeg.json,812.0,312.0,1169.0,937.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00113.jpeg.json,798.6867218017578,305.2101135253906,1124.0897674560547,923.6582946777344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__14-polichinelo-no-escuro/ann/00114.jpeg.json,788.2993469238281,297.8199157714844,1074.7604675292969,913.6677551269531
