ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00139.jpeg.json,1116.0,298.0,1337.0,689.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00140.jpeg.json,1117.7227020263672,296.57421875,1330.3269805908203,693.639892578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00141.jpeg.json,1090.5130233764648,305.7512664794922,1312.5029678344727,703.7370147705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00142.jpeg.json,1083.8807525634766,307.5208435058594,1313.914535522461,718.3918762207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00143.jpeg.json,1058.0,318.0,1354.0,963.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00144.jpeg.json,1067.1000366210938,320.62164306640625,1345.6578979492188,951.8995971679688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00145.jpeg.json,1062.2623291015625,332.5435791015625,1345.9793701171875,949.6767578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00146.jpeg.json,1048.4102783203125,348.81646728515625,1330.251953125,957.3362426757812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00147.jpeg.json,1007.0,353.0,1348.0,952.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00148.jpeg.json,1002.2294616699219,355.2799987792969,1338.2256164550781,938.5261535644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00149.jpeg.json,981.2110900878906,352.1995849609375,1342.7737731933594,938.61328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00150.jpeg.json,980.5821075439453,361.0473937988281,1314.3838348388672,941.2471618652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00151.jpeg.json,963.0,349.0,1271.0,946.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00152.jpeg.json,951.7143249511719,343.1671142578125,1258.4507141113281,928.4639892578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00153.jpeg.json,938.3474884033203,344.1458435058594,1236.0281219482422,934.0873107910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00154.jpeg.json,907.9896697998047,342.2054443359375,1232.2566680908203,926.7567138671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00155.jpeg.json,878.0,339.0,1221.0,953.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00156.jpeg.json,873.4591064453125,333.95416259765625,1200.0316162109375,937.0280151367188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00157.jpeg.json,869.2165069580078,335.14178466796875,1186.2079315185547,932.2332153320312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00158.jpeg.json,865.3240814208984,320.01043701171875,1184.119644165039,928.1641235351562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00159.jpeg.json,854.0,302.0,1181.0,946.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00160.jpeg.json,842.0232391357422,304.2541198730469,1147.9246368408203,922.9985656738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00161.jpeg.json,834.0494842529297,298.67901611328125,1113.7032012939453,918.2301635742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00162.jpeg.json,826.290771484375,286.08355712890625,1096.37841796875,907.4575805664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00163.jpeg.json,809.0,286.0,1115.0,918.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00164.jpeg.json,781.4074401855469,294.0711669921875,1111.8257141113281,898.541748046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00165.jpeg.json,769.5691680908203,296.2505798339844,1105.6172332763672,893.4621887207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00166.jpeg.json,758.8751678466797,288.6913757324219,1099.4749298095703,884.2057189941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00167.jpeg.json,752.0,300.0,1104.0,902.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00168.jpeg.json,736.6029205322266,293.2193908691406,1095.6087493896484,892.2301940917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00169.jpeg.json,730.7085723876953,296.8755798339844,1083.9899139404297,896.6211242675781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00170.jpeg.json,724.6817474365234,301.39361572265625,1065.252700805664,884.5751342773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__15-apoio-de-frente-escuro/ann/00171.jpeg.json,718.0,299.0,1081.0,897.0
