ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00113.jpeg.json,1142.0,313.0,1378.0,885.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00114.jpeg.json,1101.3479766845703,360.71173095703125,1415.5207977294922,837.7222290039062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00115.jpeg.json,1119.7258605957031,332.3367614746094,1391.5553894042969,874.2326965332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00116.jpeg.json,1109.6442413330078,333.9196472167969,1386.9537811279297,897.8260803222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00117.jpeg.json,1067.0,354.0,1364.0,1034.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00118.jpeg.json,1067.0138702392578,356.1029052734375,1347.5384979248047,1035.697021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00119.jpeg.json,1034.886245727539,375.0350036621094,1312.374984741211,1037.3316955566406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00120.jpeg.json,987.465087890625,375.93426513671875,1317.140869140625,1026.1784057617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00121.jpeg.json,952.0,372.0,1364.0,1034.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00122.jpeg.json,927.7795867919922,376.49847412109375,1366.7841339111328,1012.9456176757812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00123.jpeg.json,900.2127838134766,375.85614013671875,1350.1483001708984,1000.8279418945312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00124.jpeg.json,871.5287628173828,371.2129211425781,1320.8013153076172,996.3896179199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00125.jpeg.json,864.0,368.0,1187.0,968.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00126.jpeg.json,844.5832977294922,365.0760192871094,1168.4656524658203,963.0659484863281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00127.jpeg.json,824.4383544921875,353.40313720703125,1160.9530029296875,963.8325805664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00128.jpeg.json,803.9805603027344,350.70867919921875,1154.4942932128906,963.2898559570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00129.jpeg.json,782.0,325.0,1142.0,979.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00130.jpeg.json,773.4864196777344,318.64410400390625,1122.2590637207031,968.9739379882812
