ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00109.jpeg.json,1195.0,286.0,1475.0,925.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00110.jpeg.json,1224.8985290527344,241.3673095703125,1447.6596984863281,945.1143798828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00111.jpeg.json,1220.5966339111328,245.96835327148438,1454.0555877685547,943.1527404785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00112.jpeg.json,1211.8631439208984,250.1800537109375,1452.487808227539,944.478515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00113.jpeg.json,1206.8850860595703,251.73516845703125,1451.0154266357422,949.2178344726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00114.jpeg.json,1200.3157806396484,253.80889892578125,1448.303237915039,947.9921264648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00115.jpeg.json,1178.453353881836,266.32342529296875,1455.443130493164,931.5639038085938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00116.jpeg.json,1182.0394897460938,250.58425903320312,1451.1375122070312,937.1259460449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00117.jpeg.json,1176.621078491211,257.2713317871094,1452.232437133789,933.1974182128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00118.jpeg.json,1069.0,284.0,1396.0,922.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00119.jpeg.json,1065.3551025390625,289.0251159667969,1398.4755859375,893.0317687988281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00120.jpeg.json,1065.374038696289,294.801513671875,1393.551254272461,888.5386962890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00121.jpeg.json,1048.5514831542969,301.06951904296875,1380.5834045410156,891.7125854492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00122.jpeg.json,1038.0,311.0,1375.0,902.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00123.jpeg.json,1030.4346313476562,313.5603332519531,1361.0661010742188,881.2767028808594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00124.jpeg.json,1000.2575836181641,310.3011169433594,1345.768051147461,882.3441467285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00125.jpeg.json,981.9448852539062,303.42034912109375,1319.3815307617188,879.6661987304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00126.jpeg.json,937.0,303.0,1223.0,907.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00127.jpeg.json,923.8991546630859,297.2447509765625,1202.443618774414,890.8929443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00128.jpeg.json,910.6700134277344,291.819580078125,1187.5262756347656,884.9361572265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00129.jpeg.json,899.0399169921875,290.7457275390625,1177.046875,885.80322265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00130.jpeg.json,876.0,284.0,1192.0,898.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00131.jpeg.json,869.4983215332031,276.0448303222656,1177.6434020996094,889.7660827636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00132.jpeg.json,858.2433624267578,267.83734130859375,1172.8215789794922,883.5064086914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00133.jpeg.json,846.1543579101562,257.141845703125,1171.7542114257812,888.794189453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00134.jpeg.json,810.0,256.0,1144.0,895.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00135.jpeg.json,795.9341278076172,254.14071655273438,1111.1299591064453,873.1233215332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00136.jpeg.json,793.9721984863281,254.63882446289062,1076.9267272949219,869.4499206542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00137.jpeg.json,793.4398040771484,251.47067260742188,1053.366958618164,859.8424377441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00138.jpeg.json,769.0,250.0,1060.0,868.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00139.jpeg.json,754.6711120605469,256.53558349609375,1048.3127746582031,850.3071899414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00140.jpeg.json,743.4930419921875,262.90960693359375,1048.9754638671875,848.1010131835938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00141.jpeg.json,728.2289733886719,260.5130310058594,1043.9797668457031,855.2093811035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00142.jpeg.json,678.0,264.0,1063.0,849.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00143.jpeg.json,676.0481262207031,260.78741455078125,1042.0633239746094,842.0298461914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00144.jpeg.json,670.0631256103516,261.1231994628906,1025.614730834961,844.0857849121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00145.jpeg.json,663.6691589355469,261.6379699707031,1017.7906799316406,847.8843688964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00146.jpeg.json,634.0,270.0,1031.0,864.0
