ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00001.jpeg.json,1265.6823348999023,508.92667388916016,1333.2019729614258,643.8653182983398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00002.jpeg.json,1266.2816925048828,507.19222259521484,1333.4793243408203,643.7666091918945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00003.jpeg.json,1265.957576751709,507.60023498535156,1333.4795875549316,643.8348846435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00004.jpeg.json,1267.9084548950195,507.0496292114258,1333.554557800293,643.4877548217773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00005.jpeg.json,1265.8641242980957,510.4019012451172,1333.9177360534668,642.7089996337891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00006.jpeg.json,1268.0839576721191,506.9952850341797,1334.5268211364746,643.6484222412109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00007.jpeg.json,1265.3853149414062,506.95928955078125,1332.1374816894531,645.5108642578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00008.jpeg.json,1265.679100036621,509.0511016845703,1334.7014846801758,643.7680511474609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00009.jpeg.json,1267.5212211608887,505.8491744995117,1334.096393585205,642.8431777954102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00010.jpeg.json,1265.83980178833,512.5276489257812,1335.2724723815918,642.3049926757812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00011.jpeg.json,1265.6849975585938,508.0031051635742,1333.1872253417969,643.1720657348633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00012.jpeg.json,1266.6659889221191,511.90773010253906,1334.5633811950684,641.5027008056641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00013.jpeg.json,1266.5856475830078,509.0321273803711,1334.728500366211,642.0252151489258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00014.jpeg.json,1266.4826927185059,512.7869415283203,1334.4626197814941,645.0265045166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00015.jpeg.json,1267.05570602417,507.8640823364258,1334.9305305480957,640.8869247436523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00016.jpeg.json,1266.7136306762695,512.6008911132812,1334.7002487182617,643.2611083984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00017.jpeg.json,1267.86616897583,510.0455856323242,1334.8159294128418,640.9058303833008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00018.jpeg.json,1268.9750671386719,512.2914047241211,1338.0779724121094,641.0083389282227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00019.jpeg.json,1268.273292541504,514.6624946594238,1338.967155456543,641.1056938171387
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00020.jpeg.json,1268.6105651855469,507.7771301269531,1336.6136169433594,639.7593078613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00021.jpeg.json,1267.7116203308105,511.2421188354492,1337.344898223877,641.9663772583008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00022.jpeg.json,1267.3237609863281,509.3232421875,1336.8836364746094,641.1103820800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00023.jpeg.json,1268.4896545410156,506.80030822753906,1338.0674743652344,640.7999420166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00024.jpeg.json,1268.9227981567383,506.4509582519531,1337.4502487182617,638.9539489746094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00025.jpeg.json,1268.1578254699707,513.999885559082,1338.7225151062012,642.5895919799805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00026.jpeg.json,1267.7584114074707,508.34322357177734,1335.6114616394043,640.8515701293945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00027.jpeg.json,1268.0159072875977,511.8824234008789,1336.2885055541992,641.8539047241211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00028.jpeg.json,1267.4358406066895,519.9902191162109,1339.8411674499512,642.0264739990234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00029.jpeg.json,1267.9039268493652,508.3606872558594,1335.4722328186035,640.3629150390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00030.jpeg.json,1269.6443557739258,513.243221282959,1340.8788986206055,640.2715492248535
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00031.jpeg.json,1269.2819633483887,509.94922637939453,1338.4350776672363,639.8620834350586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00032.jpeg.json,1268.6320686340332,517.6216735839844,1339.4530143737793,641.2576293945312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00033.jpeg.json,1269.020595550537,510.51607513427734,1337.6814002990723,641.3401260375977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00034.jpeg.json,1267.5659866333008,515.133171081543,1336.3701400756836,642.432258605957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00035.jpeg.json,1268.355712890625,516.3088760375977,1333.8926391601562,641.2754135131836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00036.jpeg.json,1268.6077423095703,517.2185821533203,1335.494613647461,641.1653594970703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00037.jpeg.json,1267.870376586914,517.3088645935059,1334.7589874267578,642.259220123291
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00038.jpeg.json,1267.571216583252,517.6064300537109,1334.5518608093262,641.2865142822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00039.jpeg.json,1267.473731994629,516.3301429748535,1333.9433517456055,641.7068138122559
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00040.jpeg.json,1266.9001922607422,519.6236915588379,1337.0964813232422,642.8476219177246
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__34-toalha-na-cabeca/ann/00041.jpeg.json,1267.3187789916992,511.732666015625,1336.8381729125977,640.8191528320312
