ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00117.jpeg.json,1025.0,337.0,1364.0,941.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00118.jpeg.json,1021.6147155761719,347.0537109375,1358.5013732910156,933.5272216796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00119.jpeg.json,1009.0441741943359,356.56915283203125,1335.3985748291016,928.1036987304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00120.jpeg.json,988.9986114501953,363.16961669921875,1315.5210418701172,922.2615356445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00121.jpeg.json,974.0,363.0,1307.0,876.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00122.jpeg.json,971.195068359375,372.8927459716797,1297.105224609375,871.3860626220703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00123.jpeg.json,963.1865692138672,381.62843322753906,1284.8322296142578,867.6933441162109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00124.jpeg.json,950.0353240966797,383.70240783691406,1269.9865264892578,868.5303802490234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00125.jpeg.json,915.0,386.0,1261.0,858.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00126.jpeg.json,918.7827453613281,388.57415771484375,1246.8654479980469,860.0498657226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00127.jpeg.json,907.7652587890625,395.20166015625,1237.0780029296875,861.8062744140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00128.jpeg.json,896.8485870361328,402.77886962890625,1227.6551971435547,871.5353393554688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00129.jpeg.json,883.0,390.0,1234.0,884.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00130.jpeg.json,876.7294311523438,393.9176025390625,1204.8390502929688,883.5845947265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00131.jpeg.json,865.4080657958984,396.2756042480469,1190.7516021728516,885.5752258300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00132.jpeg.json,851.0126647949219,396.2611999511719,1185.5178527832031,887.7431945800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00133.jpeg.json,812.0,388.0,1183.0,872.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00134.jpeg.json,818.34228515625,386.27516174316406,1165.6507568359375,879.2023773193359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00135.jpeg.json,816.0235748291016,390.2216033935547,1161.387191772461,878.7886505126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00136.jpeg.json,817.891357421875,387.910400390625,1154.9830322265625,882.0487060546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00137.jpeg.json,798.0,396.0,1153.0,872.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00138.jpeg.json,804.5989379882812,389.70355224609375,1141.6821899414062,882.3539428710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00139.jpeg.json,806.4881896972656,387.42816162109375,1142.7419128417969,883.8600463867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00140.jpeg.json,809.3964385986328,388.63128662109375,1142.2997283935547,886.7423706054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00141.jpeg.json,782.0,413.0,1147.0,886.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00142.jpeg.json,799.8216400146484,398.7073211669922,1142.111099243164,891.8798370361328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00143.jpeg.json,808.7247314453125,394.7356414794922,1146.0162353515625,893.9175567626953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00144.jpeg.json,815.2195892333984,391.2364044189453,1161.1759185791016,896.0995330810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00145.jpeg.json,813.0,377.0,1174.0,876.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00146.jpeg.json,821.0455017089844,367.3609619140625,1169.8846740722656,881.592529296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00147.jpeg.json,842.7700653076172,362.1960144042969,1183.6994171142578,882.7057189941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00148.jpeg.json,847.7238464355469,344.0391845703125,1191.5256652832031,884.08447265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00149.jpeg.json,872.0,325.0,1192.0,894.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00150.jpeg.json,858.9573364257812,325.3197326660156,1196.2655639648438,883.9847106933594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00151.jpeg.json,865.3959197998047,311.2464294433594,1191.0839385986328,885.5289611816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00152.jpeg.json,875.7497100830078,305.39141845703125,1194.0167694091797,884.1061401367188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00153.jpeg.json,854.0,287.0,1189.0,887.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00154.jpeg.json,845.7013702392578,288.7732849121094,1188.6285858154297,876.6505432128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00155.jpeg.json,841.8754730224609,284.6676025390625,1186.4840240478516,876.5108642578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00156.jpeg.json,841.2958068847656,280.0830993652344,1192.7727966308594,873.5997619628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00157.jpeg.json,845.0,283.0,1205.0,910.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00158.jpeg.json,830.5888519287109,288.8486022949219,1207.827651977539,889.5702209472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00159.jpeg.json,827.5089874267578,289.84967041015625,1210.6123504638672,883.0902709960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00160.jpeg.json,823.3030395507812,286.8489074707031,1208.4503784179688,882.0324401855469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00161.jpeg.json,828.0,284.0,1210.0,871.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00162.jpeg.json,827.2671051025391,280.4779968261719,1201.377426147461,869.4638977050781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00163.jpeg.json,826.2523040771484,282.1303405761719,1194.2940826416016,872.0558166503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00164.jpeg.json,828.4258270263672,281.95843505859375,1187.5478057861328,869.2660522460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00165.jpeg.json,828.0,287.0,1216.0,866.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00166.jpeg.json,818.3519134521484,286.9345703125,1211.914810180664,855.8929443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00167.jpeg.json,810.16650390625,287.1219482421875,1195.9111328125,852.6873779296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00168.jpeg.json,802.2098541259766,288.11993408203125,1188.9471282958984,854.0673217773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00169.jpeg.json,804.0,277.0,1133.0,860.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00170.jpeg.json,788.9660949707031,278.5944519042969,1132.6032409667969,846.5054016113281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00171.jpeg.json,782.1338195800781,272.6681823730469,1128.2393493652344,845.6728820800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00172.jpeg.json,777.1169128417969,260.9078063964844,1114.9983215332031,849.4951477050781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00173.jpeg.json,785.0,252.0,1100.0,855.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00174.jpeg.json,779.9219360351562,248.37322998046875,1092.6563110351562,845.8558959960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00175.jpeg.json,776.3339385986328,245.06146240234375,1087.2089080810547,843.1227416992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00176.jpeg.json,781.3779449462891,236.58001708984375,1062.4896087646484,832.9548950195312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00177.jpeg.json,753.0,221.0,1050.0,784.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00178.jpeg.json,763.3272399902344,201.61569213867188,1038.3257141113281,768.5527648925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00179.jpeg.json,758.4162445068359,198.54196166992188,1037.057632446289,757.5417785644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00180.jpeg.json,746.2831268310547,197.23580932617188,1031.4279327392578,745.6905822753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00181.jpeg.json,706.0,228.0,1036.0,735.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00182.jpeg.json,719.2333526611328,205.07412719726562,1023.6233367919922,738.1365661621094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__36-teste-com-cachorro/ann/00183.jpeg.json,706.2290496826172,199.81585693359375,1025.6687774658203,730.7638549804688
