ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00094.jpeg.json,1125.0,375.0,1422.0,927.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00095.jpeg.json,1131.8450775146484,364.84381103515625,1393.878433227539,935.3286743164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00096.jpeg.json,1127.9364166259766,368.60467529296875,1379.3865814208984,923.3533325195312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00097.jpeg.json,1100.2959747314453,378.28741455078125,1362.2274627685547,914.3233032226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00098.jpeg.json,1067.0,371.0,1364.0,923.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00099.jpeg.json,1050.4788360595703,365.91778564453125,1338.7738494873047,907.3649291992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00100.jpeg.json,1034.6590576171875,359.3900146484375,1312.597412109375,910.23828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00101.jpeg.json,1019.5932159423828,352.5312194824219,1284.7579803466797,903.2937316894531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00102.jpeg.json,980.0,343.0,1277.0,895.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00103.jpeg.json,962.7941284179688,334.9358215332031,1253.4520874023438,892.8433532714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00104.jpeg.json,940.5372161865234,323.14111328125,1239.9393463134766,894.642822265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00105.jpeg.json,929.5303497314453,311.23114013671875,1228.8162078857422,885.7333374023438
