ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00001.jpeg.json,1275.2590103149414,251.90863037109375,1521.441307067871,1023.4983520507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00002.jpeg.json,1271.8826751708984,276.1777038574219,1528.6551666259766,1032.3606262207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00003.jpeg.json,1246.829002380371,259.669921875,1484.807472229004,1037.804443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00004.jpeg.json,1263.262954711914,288.94073486328125,1533.2129974365234,1031.0029907226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00005.jpeg.json,1262.3619918823242,271.3851623535156,1512.2562942504883,1039.1054382324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00006.jpeg.json,1237.496696472168,281.7685546875,1479.1313552856445,1032.599365234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00007.jpeg.json,1265.4499435424805,272.6701965332031,1515.128547668457,1025.1069030761719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00008.jpeg.json,1268.0169372558594,253.07916259765625,1516.2380676269531,1037.1452026367188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00009.jpeg.json,1243.9885559082031,275.17181396484375,1476.4148864746094,1042.7329711914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00010.jpeg.json,1264.7348251342773,272.0155944824219,1518.2475967407227,1042.1555480957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00011.jpeg.json,1250.52587890625,245.63211059570312,1481.93359375,1044.5612487792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00012.jpeg.json,1264.0452117919922,279.5468444824219,1533.5915069580078,1044.5066223144531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00013.jpeg.json,1256.0883407592773,243.83331298828125,1488.4409561157227,1042.2033081054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00014.jpeg.json,1269.7464752197266,273.9645080566406,1539.652328491211,1028.1736755371094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00015.jpeg.json,1260.1677856445312,278.1959533691406,1496.4402465820312,1031.6643981933594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00016.jpeg.json,1248.8166275024414,240.27777099609375,1468.137840270996,1040.7138061523438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00017.jpeg.json,1262.5997161865234,275.6625061035156,1538.493423461914,1055.3215026855469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00018.jpeg.json,1248.8236465454102,284.2667541503906,1492.2958602905273,1050.2101745605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00019.jpeg.json,1250.3880920410156,220.9066162109375,1463.4277038574219,1053.32177734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00020.jpeg.json,1264.6903991699219,276.4998474121094,1534.8623352050781,1027.9200744628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00021.jpeg.json,1254.6528549194336,221.53396606445312,1486.9882583618164,1042.7594909667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00022.jpeg.json,1273.200180053711,264.56829833984375,1536.561538696289,1041.7238159179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00023.jpeg.json,1259.2956619262695,297.9178771972656,1509.092887878418,1035.8991394042969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00024.jpeg.json,1259.0967864990234,268.5682373046875,1504.399429321289,1040.9720458984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00025.jpeg.json,1257.996223449707,286.5530700683594,1504.494499206543,1050.2212219238281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00026.jpeg.json,1246.9853134155273,265.8412780761719,1501.5608291625977,1038.9374084472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00027.jpeg.json,1236.0941619873047,287.26708984375,1492.1439971923828,1032.31982421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00028.jpeg.json,1233.508644104004,283.84527587890625,1480.256736755371,1020.0929565429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00029.jpeg.json,1234.9177932739258,274.7289733886719,1489.2242965698242,1032.5278625488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00030.jpeg.json,1263.5699920654297,243.70040893554688,1518.4502716064453,1045.6684875488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00031.jpeg.json,1264.4435424804688,280.4593200683594,1535.8436889648438,1037.8514709472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00032.jpeg.json,1249.0422668457031,268.7317810058594,1510.4134216308594,1022.4365539550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00033.jpeg.json,1275.1000671386719,275.61798095703125,1534.1518859863281,1025.0546264648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00034.jpeg.json,1248.2842407226562,292.6661071777344,1517.1203002929688,1021.9341125488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00035.jpeg.json,1255.1898498535156,275.57366943359375,1518.0852966308594,1032.4691772460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00036.jpeg.json,1231.0408172607422,263.8158874511719,1505.6286163330078,1025.4557189941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00037.jpeg.json,1280.9979400634766,279.9239196777344,1556.012924194336,1029.3247375488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00038.jpeg.json,1245.5622253417969,297.6922607421875,1518.4818420410156,1022.9639892578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00039.jpeg.json,1247.8964538574219,280.5032653808594,1504.1737365722656,1038.5263977050781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00040.jpeg.json,1265.1356048583984,286.1727294921875,1524.271499633789,1020.8699951171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00041.jpeg.json,1255.7451477050781,265.7749938964844,1493.8647155761719,998.0577697753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00042.jpeg.json,1231.6238250732422,281.2952575683594,1476.9800567626953,1006.7865295410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00043.jpeg.json,1224.1413040161133,294.7495422363281,1472.2776412963867,1006.1359558105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00044.jpeg.json,1274.5284729003906,271.1119384765625,1530.5184020996094,1001.2403564453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00045.jpeg.json,1253.7632446289062,293.674560546875,1512.6013793945312,1009.9566650390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00046.jpeg.json,1247.9318237304688,272.6347351074219,1487.0643920898438,979.8408508300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00047.jpeg.json,1223.7929077148438,285.9226989746094,1478.6511840820312,994.8053283691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__8-caindo-de-costas/ann/00048.jpeg.json,1275.4621658325195,270.9010925292969,1530.867790222168,1009.6235656738281
