ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00001.jpeg.json,1189.104263305664,363.6337890625,1475.1551361083984,1046.54296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00002.jpeg.json,1254.4414978027344,312.3040771484375,1532.6766662597656,1036.9613037109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00003.jpeg.json,1150.5194854736328,372.8175048828125,1473.8372039794922,1044.9207763671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00004.jpeg.json,1228.6237182617188,272.8048095703125,1484.6249389648438,1049.1500244140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00005.jpeg.json,1225.539047241211,296.57513427734375,1475.8849029541016,1055.5696411132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00006.jpeg.json,1187.144271850586,328.57720947265625,1491.7022857666016,1049.3173217773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00007.jpeg.json,1242.4677276611328,269.9611511230469,1500.6959686279297,1050.2373352050781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00008.jpeg.json,1216.994888305664,311.6549987792969,1486.3233489990234,1049.7049865722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00009.jpeg.json,1201.4171295166016,323.4004211425781,1481.730453491211,1053.6374206542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00010.jpeg.json,1228.5442199707031,310.1474609375,1503.7227478027344,1055.473388671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00011.jpeg.json,1204.7400360107422,341.4837646484375,1492.3728790283203,1047.794677734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00012.jpeg.json,1167.1672668457031,317.68133544921875,1429.7496032714844,1057.6318969726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00013.jpeg.json,1240.7936096191406,308.55078125,1525.3798522949219,1041.999755859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00014.jpeg.json,1221.1232452392578,328.4165344238281,1507.5502166748047,1054.7168884277344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00015.jpeg.json,1211.3739471435547,334.1628112792969,1518.8576202392578,1057.2591857910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00016.jpeg.json,1216.7585906982422,298.88702392578125,1501.5385284423828,1036.8755493164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00017.jpeg.json,1198.7196350097656,300.12054443359375,1468.1912536621094,1058.7333374023438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00018.jpeg.json,1173.6515045166016,345.9779968261719,1446.6514739990234,1054.8777160644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00019.jpeg.json,1182.1621704101562,344.9226989746094,1454.5289916992188,1061.4582824707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00020.jpeg.json,1173.8287506103516,363.2679443359375,1464.456039428711,1064.096435546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00021.jpeg.json,1222.180648803711,291.9980163574219,1517.865249633789,1036.2804260253906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00022.jpeg.json,1205.277114868164,276.604736328125,1477.501205444336,1059.6326904296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00023.jpeg.json,1254.8525085449219,285.6737060546875,1555.9212951660156,1029.59814453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00024.jpeg.json,1354.3223876953125,289.3331298828125,1685.0643310546875,1043.672119140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00025.jpeg.json,1401.064437866211,325.701416015625,1748.3585357666016,1038.7823486328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00026.jpeg.json,1328.0391082763672,318.5467529296875,1673.0452423095703,1045.006103515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00027.jpeg.json,1210.9331665039062,277.6725158691406,1516.0420532226562,1062.9655456542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00028.jpeg.json,1183.5103302001953,323.53497314453125,1488.0515594482422,1063.6954956054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00029.jpeg.json,1177.664077758789,328.4045715332031,1483.0218353271484,1067.7919616699219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00030.jpeg.json,1150.1681671142578,350.11334228515625,1464.8197479248047,1062.4302368164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00031.jpeg.json,1205.6621704101562,311.85736083984375,1558.0993041992188,1052.2365112304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00032.jpeg.json,1194.9413299560547,263.6358642578125,1510.8282012939453,1048.255126953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00033.jpeg.json,1201.2274627685547,283.42755126953125,1471.4978790283203,1041.1130981445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00034.jpeg.json,1189.2308197021484,337.1169738769531,1483.469497680664,1050.2773132324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00035.jpeg.json,1238.602310180664,285.0804443359375,1537.4236907958984,1035.3970947265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00036.jpeg.json,1197.9853820800781,373.0763244628906,1509.5037536621094,1042.6409606933594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00037.jpeg.json,1208.195327758789,340.4986572265625,1477.340072631836,1039.5400390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00038.jpeg.json,1192.5516204833984,427.7301940917969,1487.7154693603516,1065.6339416503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00039.jpeg.json,1219.9452362060547,344.59271240234375,1492.9182891845703,1038.7694702148438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00040.jpeg.json,1179.4430236816406,450.2505798339844,1484.3883972167969,1061.6323547363281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00041.jpeg.json,1207.2066650390625,359.6208801269531,1492.1114501953125,1047.0927429199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00042.jpeg.json,1193.0008087158203,337.0756530761719,1475.8896942138672,1054.7494201660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00043.jpeg.json,1257.3541564941406,336.0060119628906,1543.4851989746094,1023.5883483886719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__9-caindo-de-barriga/ann/00044.jpeg.json,1182.4024505615234,387.4642028808594,1454.560562133789,1056.0299377441406
