ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00001.jpeg.json,813.5698623657227,947.53173828125,1053.4931259155273,1074.3233032226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00002.jpeg.json,813.7779769897461,949.9164581298828,1059.8388442993164,1079.1038665771484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00003.jpeg.json,812.0731353759766,950.6585922241211,1057.7477264404297,1080.850440979004
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00004.jpeg.json,814.658576965332,949.7704544067383,1056.0164108276367,1080.5190353393555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00005.jpeg.json,812.9726181030273,950.0595932006836,1051.0962295532227,1079.2995376586914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00006.jpeg.json,813.1411819458008,950.0763092041016,1056.7692794799805,1080.4791717529297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00007.jpeg.json,812.1165390014648,949.9624938964844,1053.4792251586914,1079.3144836425781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00008.jpeg.json,813.8678817749023,950.1291656494141,1053.0458755493164,1082.0067596435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00009.jpeg.json,815.4656753540039,951.3027191162109,1055.4689559936523,1079.992935180664
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00010.jpeg.json,812.9091644287109,948.2112274169922,1056.3162994384766,1080.3040924072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00011.jpeg.json,810.3936920166016,952.6464462280273,1067.2008514404297,1080.6847915649414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00012.jpeg.json,811.2424697875977,951.9002227783203,1057.3188705444336,1081.7600555419922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00013.jpeg.json,814.4002456665039,951.4706954956055,1051.8965682983398,1081.0776443481445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00014.jpeg.json,816.2095336914062,950.1029357910156,1069.1118774414062,1080.8293151855469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00015.jpeg.json,812.0211639404297,949.7986373901367,1061.9429473876953,1078.397590637207
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00016.jpeg.json,812.931037902832,950.2422714233398,1060.7202072143555,1078.9303359985352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00017.jpeg.json,813.8033599853516,950.7111282348633,1059.5615692138672,1080.0708541870117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00018.jpeg.json,816.2776489257812,949.6817779541016,1051.1404418945312,1079.6119232177734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00019.jpeg.json,811.9093322753906,949.5023040771484,1068.0571594238281,1079.931167602539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00020.jpeg.json,813.4031677246094,950.0468444824219,1062.3935241699219,1080.0795593261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00021.jpeg.json,812.1454391479492,950.9186325073242,1062.935676574707,1080.8725662231445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00022.jpeg.json,812.4459991455078,951.0116119384766,1054.4747772216797,1079.771713256836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00023.jpeg.json,813.5287704467773,950.0861587524414,1058.2245864868164,1080.5341415405273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00024.jpeg.json,812.4817123413086,950.4990463256836,1054.762794494629,1078.8056411743164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00025.jpeg.json,812.8211898803711,950.8095321655273,1060.6196670532227,1079.4957656860352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00026.jpeg.json,816.1189498901367,950.5387649536133,1049.8897171020508,1079.145378112793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00027.jpeg.json,811.793098449707,951.1095390319824,1050.7852096557617,1078.3885688781738
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00028.jpeg.json,814.1063995361328,949.7150039672852,1054.6903533935547,1081.483787536621
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00029.jpeg.json,813.2044296264648,950.5932922363281,1054.858009338379,1080.3917541503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00030.jpeg.json,815.0321197509766,950.8791961669922,1053.046859741211,1079.1250762939453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00031.jpeg.json,811.6377716064453,950.3990097045898,1060.6966400146484,1079.4208145141602
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00032.jpeg.json,812.7427368164062,950.8063583374023,1059.121826171875,1080.5945205688477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00033.jpeg.json,811.4721298217773,950.7912063598633,1051.8471450805664,1081.8995895385742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00034.jpeg.json,811.3144149780273,955.2289505004883,1065.1468887329102,1083.137565612793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00035.jpeg.json,813.4579010009766,951.6701126098633,1056.7242889404297,1082.2155075073242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00036.jpeg.json,813.5185852050781,949.8706283569336,1054.1609802246094,1080.9308242797852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00037.jpeg.json,813.5828247070312,949.8911361694336,1049.0625,1080.3029556274414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00038.jpeg.json,813.4634475708008,951.5657577514648,1059.968620300293,1081.1322402954102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00039.jpeg.json,813.9655380249023,950.3788757324219,1052.6633071899414,1081.2913513183594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00040.jpeg.json,814.0016021728516,951.2589416503906,1052.9960174560547,1079.6009826660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00041.jpeg.json,816.9155426025391,950.5366744995117,1048.5106048583984,1079.579963684082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00042.jpeg.json,813.9696350097656,948.7538681030273,1054.6043395996094,1080.7463760375977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00043.jpeg.json,814.8350372314453,950.4321899414062,1059.7942962646484,1081.7967529296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00044.jpeg.json,812.5227966308594,951.9544677734375,1051.6081237792969,1081.2774047851562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00045.jpeg.json,812.6427154541016,951.1906356811523,1059.533432006836,1078.4597549438477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00046.jpeg.json,812.1483612060547,948.7036895751953,1054.458999633789,1082.2613372802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00047.jpeg.json,812.2951965332031,951.8369064331055,1062.4765930175781,1081.4968338012695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00048.jpeg.json,812.2936935424805,951.9195404052734,1055.4169998168945,1079.4864654541016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00049.jpeg.json,812.5301971435547,950.2738723754883,1078.5816802978516,1081.4154586791992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00050.jpeg.json,812.8179244995117,951.6387252807617,1052.1240310668945,1081.9558181762695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__1-andando-normalmente/ann/00051.jpeg.json,816.6532592773438,951.1934127807617,1049.1959228515625,1081.622932434082
