ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00109.jpeg.json,445.0,543.0,941.0,1000.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00110.jpeg.json,456.990966796875,530.5275115966797,930.657470703125,1004.5462188720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00111.jpeg.json,477.12010192871094,540.1800384521484,943.7205963134766,1002.4681549072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00112.jpeg.json,492.86582946777344,574.5764465332031,961.8886871337891,994.3341979980469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00113.jpeg.json,486.0,488.0,947.0,1016.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00114.jpeg.json,494.31736755371094,479.8424377441406,936.4563140869141,1017.8236999511719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00115.jpeg.json,496.9878692626953,484.92340087890625,941.4315643310547,1010.1493530273438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00116.jpeg.json,504.9855194091797,484.1448974609375,942.5943145751953,1011.6888427734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00117.jpeg.json,514.0,483.0,973.0,992.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00118.jpeg.json,513.1142883300781,484.24497985839844,961.4449157714844,984.4616851806641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00119.jpeg.json,517.8115386962891,478.62489318847656,944.6722259521484,986.8935394287109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00120.jpeg.json,518.1053161621094,474.4169921875,933.8054504394531,984.6025390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00121.jpeg.json,495.0,469.0,947.0,1007.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00122.jpeg.json,505.9376678466797,446.5758972167969,923.1586456298828,1019.0864562988281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00123.jpeg.json,499.7043151855469,446.0962829589844,922.5072326660156,1012.7749328613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00124.jpeg.json,494.85791015625,437.8585205078125,922.1759033203125,1012.9241943359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00125.jpeg.json,469.0,479.0,968.0,1015.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00126.jpeg.json,467.0556640625,463.7061462402344,951.19775390625,1021.3856506347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00127.jpeg.json,456.6490936279297,452.76910400390625,946.7552032470703,1022.1173706054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00128.jpeg.json,445.7607116699219,446.250244140625,946.7556457519531,1021.901123046875
