ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00085.jpeg.json,426.0,534.0,920.0,1012.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00086.jpeg.json,443.4589538574219,516.3596038818359,911.7628479003906,1017.9513092041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00087.jpeg.json,453.6346740722656,503.0137176513672,916.3742370605469,1013.0008087158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00088.jpeg.json,469.2782440185547,498.6080627441406,917.6002960205078,1011.6523132324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00089.jpeg.json,477.0,453.0,922.0,1010.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00090.jpeg.json,485.53570556640625,447.5481872558594,930.1854858398438,1004.8019104003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00091.jpeg.json,494.154296875,438.44183349609375,935.908447265625,1004.6057739257812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00092.jpeg.json,502.6112823486328,429.7796630859375,944.9181365966797,1006.1065673828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00093.jpeg.json,515.0,402.0,921.0,1024.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00094.jpeg.json,496.15870666503906,408.3739013671875,947.5397796630859,998.83740234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00095.jpeg.json,501.66844177246094,393.7123107910156,950.5839996337891,997.2861022949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00096.jpeg.json,520.5607452392578,375.26068115234375,962.0537567138672,993.0175170898438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00097.jpeg.json,551.0,339.0,944.0,921.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00098.jpeg.json,560.1298828125,332.0934143066406,947.8997802734375,917.6363220214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00099.jpeg.json,562.4596252441406,329.1299133300781,961.5170593261719,907.7360534667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00100.jpeg.json,568.5809478759766,325.1326599121094,970.5633392333984,910.0931701660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00101.jpeg.json,610.0,310.0,1032.0,840.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00102.jpeg.json,610.7312774658203,327.6436309814453,1031.0439910888672,815.6750946044922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00103.jpeg.json,637.3486938476562,334.5047149658203,1028.9469604492188,806.0621795654297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__18-agachamento-no-escuro/ann/00104.jpeg.json,653.1849212646484,328.9857940673828,1030.660171508789,811.8613739013672
