ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00116.jpeg.json,445.0,541.0,857.0,1013.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00117.jpeg.json,432.9074249267578,555.7942810058594,868.5420379638672,991.3108215332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00118.jpeg.json,439.2829284667969,547.4532318115234,870.4829406738281,988.7259674072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00119.jpeg.json,445.1464385986328,534.6253814697266,877.6637420654297,989.4361419677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00120.jpeg.json,443.0,503.0,897.0,1027.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00121.jpeg.json,473.72601318359375,478.1646728515625,867.9810180664062,1047.9375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00122.jpeg.json,482.1526641845703,463.388427734375,867.2971649169922,1050.3253173828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00123.jpeg.json,481.99513244628906,459.0498962402344,878.3196868896484,1044.6538391113281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00124.jpeg.json,474.0,447.0,963.0,1001.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00125.jpeg.json,479.0040740966797,447.75994873046875,949.2459259033203,999.2319946289062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00126.jpeg.json,481.06201171875,455.451416015625,947.6090087890625,991.28369140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00127.jpeg.json,484.52162170410156,452.191162109375,954.6447601318359,987.599365234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00128.jpeg.json,515.0,447.0,934.0,992.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00129.jpeg.json,502.2997283935547,459.637939453125,943.8194122314453,975.5955810546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00130.jpeg.json,502.26979064941406,458.6361999511719,943.4897308349609,973.8340148925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00131.jpeg.json,497.0416259765625,462.57386779785156,951.6168212890625,969.1536712646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00132.jpeg.json,506.0,430.0,940.0,988.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00133.jpeg.json,497.3232116699219,438.17669677734375,943.0364074707031,977.4515991210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00134.jpeg.json,494.8303680419922,433.07086181640625,937.0817413330078,978.6260375976562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00135.jpeg.json,487.25811767578125,434.1680908203125,936.6032104492188,974.1668701171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00136.jpeg.json,488.0,415.0,938.0,986.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00137.jpeg.json,471.81471252441406,428.8474426269531,936.9250335693359,973.7321472167969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00138.jpeg.json,465.19129943847656,420.6818542480469,916.6657562255859,973.0354309082031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00139.jpeg.json,453.36170959472656,418.62994384765625,907.6871185302734,974.2561645507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00140.jpeg.json,445.0,405.0,915.0,978.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00141.jpeg.json,430.5208282470703,415.4515380859375,920.2150115966797,964.7564697265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00142.jpeg.json,425.8819274902344,407.6900329589844,914.6744689941406,964.6251525878906
