ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00130.jpeg.json,369.0,645.0,802.0,1052.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00131.jpeg.json,342.01226806640625,670.4396667480469,824.3191528320312,1015.8824768066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00132.jpeg.json,339.864501953125,670.8453826904297,824.69873046875,1014.6962432861328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00133.jpeg.json,344.0285339355469,667.8778228759766,819.1799621582031,1017.5915374755859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00134.jpeg.json,364.0,558.0,805.0,1052.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00135.jpeg.json,348.65003967285156,568.9881134033203,818.6387786865234,1024.9499969482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00136.jpeg.json,344.8226776123047,580.4236297607422,819.9679718017578,1016.7248077392578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00137.jpeg.json,351.92628479003906,590.1280364990234,820.6067962646484,1018.8405914306641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00138.jpeg.json,349.5946044921875,600.1046905517578,825.2708740234375,1016.6066131591797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00139.jpeg.json,369.0,645.0,810.0,1051.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00140.jpeg.json,368.7566680908203,654.396240234375,808.6160125732422,1029.5367431640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00141.jpeg.json,388.70469665527344,660.12158203125,816.9959869384766,1027.4146728515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00142.jpeg.json,406.86724853515625,658.1900787353516,841.3512573242188,1021.2946624755859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00143.jpeg.json,403.18470764160156,647.4056396484375,840.0737152099609,1017.4091796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00144.jpeg.json,434.0,644.0,819.0,1063.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00145.jpeg.json,440.69236755371094,633.3290710449219,812.0837554931641,1060.4774475097656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00146.jpeg.json,446.46868896484375,623.9605865478516,816.7456665039062,1054.5335540771484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00147.jpeg.json,447.9548034667969,613.8224182128906,818.0853576660156,1058.5417175292969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00148.jpeg.json,476.0,591.0,865.0,1035.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00149.jpeg.json,475.12384033203125,588.4110870361328,871.9470825195312,1022.6250457763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00150.jpeg.json,476.70921325683594,582.5402679443359,875.7212066650391,1017.8862457275391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00151.jpeg.json,483.7015838623047,570.1762390136719,873.8563995361328,1014.7579650878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00152.jpeg.json,465.0,525.0,898.0,1019.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00153.jpeg.json,444.47703552246094,538.6935882568359,921.8861236572266,990.7225494384766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00154.jpeg.json,449.8922576904297,525.7852020263672,918.9420928955078,992.8977813720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00155.jpeg.json,452.50315856933594,517.6522674560547,917.6954498291016,995.2278594970703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00156.jpeg.json,477.0,490.0,888.0,1022.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00157.jpeg.json,473.3885498046875,494.9893493652344,886.6580810546875,1006.9994201660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00158.jpeg.json,473.92152404785156,492.9032745361328,891.3984222412109,1003.3297576904297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00159.jpeg.json,481.0654754638672,489.6935119628906,895.2108917236328,1002.0076599121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00160.jpeg.json,487.0,465.0,907.0,989.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00161.jpeg.json,486.45826721191406,474.3382568359375,906.9383392333984,977.55078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00162.jpeg.json,494.07887268066406,473.46141052246094,904.5009613037109,980.1872711181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00163.jpeg.json,505.5254821777344,473.6611328125,915.2778625488281,980.593994140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00164.jpeg.json,517.0,465.0,907.0,986.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00165.jpeg.json,519.4117889404297,468.5914306640625,907.9644317626953,977.1505126953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00166.jpeg.json,524.6804504394531,463.068603515625,910.4264831542969,976.0648193359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00167.jpeg.json,532.5377960205078,461.8353729248047,913.8218231201172,972.6546173095703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00168.jpeg.json,534.0,453.0,924.0,1000.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__23-sentar-e-com-dificuldade/ann/00169.jpeg.json,527.9248352050781,466.9581298828125,930.9041442871094,984.1597900390625
