ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00124.jpeg.json,409.0,600.0,887.0,1057.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00125.jpeg.json,426.53919982910156,588.7240447998047,876.9529876708984,1069.3004913330078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00126.jpeg.json,424.0601806640625,584.9343566894531,882.12109375,1067.3459167480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00127.jpeg.json,422.0579376220703,569.8372192382812,878.9100799560547,1068.1034545898438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00128.jpeg.json,421.3391876220703,563.1685485839844,876.8368377685547,1065.7881164550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00129.jpeg.json,417.3583984375,554.5944519042969,881.2255859375,1067.6856994628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00130.jpeg.json,405.0,559.0,900.0,1045.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00131.jpeg.json,424.0712890625,535.3506469726562,878.8358154296875,1058.8754272460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00132.jpeg.json,420.82359313964844,532.1443176269531,880.8609771728516,1058.6573181152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00133.jpeg.json,420.7854766845703,530.1388854980469,879.9886932373047,1059.8974914550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00134.jpeg.json,398.0,525.0,829.0,1034.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00135.jpeg.json,408.09681701660156,512.1123657226562,816.1398773193359,1043.1765747070312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00136.jpeg.json,406.9228973388672,510.4606018066406,815.4252471923828,1043.6161804199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00137.jpeg.json,406.7895202636719,506.5019226074219,816.4186096191406,1042.9973449707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00138.jpeg.json,408.0220489501953,502.4282531738281,814.4481658935547,1041.8677673339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00139.jpeg.json,413.4997253417969,500.4527587890625,816.3183898925781,1040.282958984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00140.jpeg.json,417.113037109375,500.54034423828125,818.888916015625,1038.1498413085938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00141.jpeg.json,450.0,511.0,913.0,1028.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00142.jpeg.json,447.96669006347656,512.4694519042969,914.2840423583984,1021.1288146972656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00143.jpeg.json,451.7463836669922,509.5951232910156,913.0283966064453,1016.8507995605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00144.jpeg.json,461.3102111816406,504.1575927734375,913.2555847167969,1017.8682861328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00145.jpeg.json,480.0,475.0,915.0,1001.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00146.jpeg.json,481.16419982910156,478.8916320800781,917.0152435302734,993.3394470214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00147.jpeg.json,485.26564025878906,479.30348205566406,917.3344573974609,990.9898529052734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00148.jpeg.json,491.6909942626953,472.1585388183594,912.1804656982422,995.8890686035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00149.jpeg.json,497.0,452.0,921.0,1025.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00150.jpeg.json,498.05174255371094,446.6455078125,922.3357086181641,1017.652587890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00151.jpeg.json,498.61474609375,441.0828552246094,920.4044189453125,1018.4872131347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00152.jpeg.json,501.6878356933594,438.110107421875,920.5089416503906,1018.7027587890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00153.jpeg.json,521.0,430.0,906.0,1025.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00154.jpeg.json,521.2475738525391,430.0025634765625,906.9190521240234,1014.1097412109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00155.jpeg.json,525.2150421142578,425.6260070800781,907.0240936279297,1012.9693298339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00156.jpeg.json,530.6313171386719,410.7887268066406,904.2480773925781,1019.0114440917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00157.jpeg.json,551.0,407.0,933.0,988.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00158.jpeg.json,553.8848571777344,399.5582275390625,927.3009338378906,987.8575439453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00159.jpeg.json,554.6965484619141,391.7823791503906,923.2515716552734,985.9125671386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00160.jpeg.json,558.0823822021484,382.7461242675781,920.6971588134766,987.2821960449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00161.jpeg.json,549.0,368.0,925.0,978.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00162.jpeg.json,551.7835845947266,367.7149963378906,920.6513519287109,978.8880310058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00163.jpeg.json,551.8350830078125,364.8858642578125,921.8642578125,977.862060546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00164.jpeg.json,551.4108276367188,365.4280090332031,917.5221557617188,980.8831481933594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00165.jpeg.json,549.714111328125,362.57781982421875,918.1119384765625,973.5953979492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00166.jpeg.json,556.0,366.0,943.0,930.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00167.jpeg.json,543.0411834716797,380.2070007324219,946.2407989501953,919.7551574707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00168.jpeg.json,542.2484741210938,377.6133728027344,939.8374633789062,922.0513000488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00169.jpeg.json,540.0493927001953,374.98028564453125,937.5638885498047,921.9631958007812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00170.jpeg.json,531.0,355.0,898.0,912.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00171.jpeg.json,533.9957275390625,350.8150939941406,888.8614501953125,913.5690612792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00172.jpeg.json,534.0291290283203,347.0929870605469,886.7698211669922,914.7088928222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00173.jpeg.json,532.6901550292969,345.1378479003906,883.0713195800781,915.9353942871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00174.jpeg.json,529.0,339.0,896.0,906.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00175.jpeg.json,539.7806549072266,324.5292663574219,879.0673675537109,915.9939270019531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00176.jpeg.json,542.0929870605469,313.3451843261719,876.2200012207031,916.0194396972656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00177.jpeg.json,542.3871307373047,307.6918640136719,877.0334014892578,917.8152160644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00178.jpeg.json,547.0,304.0,869.0,895.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00179.jpeg.json,544.4365997314453,299.3509521484375,861.3002166748047,889.5865478515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00180.jpeg.json,543.1005859375,294.14825439453125,858.3482666015625,882.6973266601562
