ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00355.jpeg.json,374.0,599.0,861.0,1030.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00356.jpeg.json,376.830810546875,590.8596038818359,854.4951171875,1013.8969879150391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00357.jpeg.json,369.171875,575.2603149414062,859.8897705078125,1007.2149047851562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00358.jpeg.json,394.3801574707031,556.0382690429688,859.9877624511719,1010.8451538085938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00359.jpeg.json,406.0,534.0,866.0,1036.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00360.jpeg.json,392.0624542236328,537.4879150390625,867.6444549560547,1013.461669921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00361.jpeg.json,391.53758239746094,524.2700653076172,876.8156890869141,1009.8666534423828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00362.jpeg.json,394.6792755126953,511.9697723388672,886.0247039794922,1009.5536651611328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00363.jpeg.json,453.0,478.0,923.0,1022.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00364.jpeg.json,458.1807403564453,469.4822082519531,924.5990447998047,1006.6110534667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00365.jpeg.json,479.7852325439453,457.0331726074219,917.4009246826172,1004.6813049316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00366.jpeg.json,495.7339782714844,444.6544189453125,923.1321105957031,1002.261962890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00367.jpeg.json,474.0,388.0,938.0,1000.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00368.jpeg.json,475.18165588378906,394.6388854980469,943.7250823974609,993.0830383300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00369.jpeg.json,493.05743408203125,386.8952941894531,950.4835815429688,991.0141296386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00370.jpeg.json,514.7177734375,376.2367248535156,964.435302734375,991.5872497558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00371.jpeg.json,554.0,336.0,1004.0,912.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00372.jpeg.json,560.498046875,327.1575012207031,988.0050048828125,918.3019714355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00373.jpeg.json,571.477783203125,331.16900634765625,980.863525390625,914.3397827148438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00374.jpeg.json,589.3246917724609,330.3792724609375,984.1974029541016,900.3604736328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00375.jpeg.json,596.0,298.0,1023.0,897.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00376.jpeg.json,611.1239471435547,294.39593505859375,1018.0313262939453,885.6792602539062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00377.jpeg.json,621.5932312011719,296.44384765625,1018.2826232910156,850.2088623046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00378.jpeg.json,647.3159942626953,289.2823486328125,1010.9032440185547,810.3343505859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00379.jpeg.json,638.0,271.0,1021.0,787.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00380.jpeg.json,657.0802154541016,270.75120544433594,1005.4704437255859,771.7237701416016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00381.jpeg.json,671.7853698730469,263.7055969238281,998.5691223144531,766.8394470214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00382.jpeg.json,678.0405883789062,258.7425994873047,1021.4653930664062,763.1696319580078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00383.jpeg.json,679.0,229.0,1042.0,771.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00384.jpeg.json,701.9007873535156,232.45840454101562,1029.6200866699219,763.5149841308594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00385.jpeg.json,711.7012634277344,223.6541748046875,1052.8415832519531,754.6514892578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00386.jpeg.json,717.1003265380859,211.0545654296875,1068.860366821289,740.796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00387.jpeg.json,684.0,172.0,1066.0,767.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00388.jpeg.json,694.9589691162109,174.61849975585938,1057.8990631103516,750.5952453613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00389.jpeg.json,705.0592803955078,169.39178466796875,1050.7916717529297,739.1399536132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00390.jpeg.json,709.8591156005859,175.99160766601562,1046.6231842041016,732.6309509277344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00391.jpeg.json,719.0,179.0,1032.0,731.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00392.jpeg.json,725.5578155517578,185.13308715820312,1023.4014129638672,717.8489685058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00393.jpeg.json,728.9200744628906,184.56622314453125,1021.4527282714844,710.4895629882812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00394.jpeg.json,728.9163665771484,183.02761840820312,1017.9380035400391,712.6890563964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00395.jpeg.json,728.2820129394531,179.48800659179688,1019.5640563964844,713.2585754394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00396.jpeg.json,728.6527557373047,180.8487548828125,1019.3828887939453,714.60205078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00397.jpeg.json,728.0,170.0,1041.0,728.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00398.jpeg.json,729.6774139404297,174.19854736328125,1038.8109893798828,714.2484741210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00399.jpeg.json,730.5428314208984,176.58480834960938,1037.520523071289,712.7206115722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00400.jpeg.json,730.7476501464844,172.67462158203125,1033.9647521972656,714.7293090820312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00401.jpeg.json,731.8438873291016,171.53952026367188,1031.6312103271484,714.9422912597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00402.jpeg.json,732.5091552734375,171.4022216796875,1030.29052734375,714.0611572265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00403.jpeg.json,732.0538635253906,170.0008544921875,1034.4772644042969,714.348876953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00404.jpeg.json,731.5424652099609,175.202392578125,1027.110366821289,713.3621826171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00405.jpeg.json,729.8257598876953,171.99356079101562,1027.6113739013672,712.9313659667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00406.jpeg.json,713.0,158.0,1045.0,738.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00407.jpeg.json,721.8695220947266,163.11849975585938,1040.1172943115234,727.8795471191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00408.jpeg.json,733.2904205322266,180.93194580078125,1039.606430053711,728.0414428710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00409.jpeg.json,751.8573608398438,205.31112670898438,1053.8584594726562,733.4377746582031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00410.jpeg.json,753.0,210.0,1058.0,735.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00411.jpeg.json,693.7672424316406,188.01943969726562,1028.6391296386719,713.0516052246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00412.jpeg.json,594.4280853271484,159.64028930664062,1010.9260406494141,707.4908142089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00413.jpeg.json,498.5193176269531,122.01580810546875,1033.8855895996094,722.5753784179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00414.jpeg.json,477.0,6.0,1095.0,802.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00415.jpeg.json,492.9708557128906,-7.91168212890625,1068.9241638183594,804.3130493164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00416.jpeg.json,625.9252319335938,-8.142425537109375,1058.6829223632812,805.8189392089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__27-polichinelo/ann/00417.jpeg.json,676.9244384765625,1.914215087890625,1062.0042724609375,797.3418884277344
