ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00138.jpeg.json,347.0,651.0,846.0,1020.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00139.jpeg.json,368.46453857421875,616.5095520019531,841.9580688476562,1015.6869812011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00140.jpeg.json,368.85984802246094,602.8597717285156,852.4958648681641,994.3052673339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00141.jpeg.json,406.0662078857422,567.2680511474609,845.3191680908203,1003.1253814697266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00142.jpeg.json,372.0,545.0,905.0,1014.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00143.jpeg.json,392.1234436035156,526.4767608642578,884.1386413574219,1013.0194549560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00144.jpeg.json,403.2649383544922,521.1968688964844,882.6861114501953,1007.6122131347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00145.jpeg.json,397.07225036621094,500.17942810058594,896.0142974853516,1006.1436920166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00146.jpeg.json,398.0,474.0,905.0,1014.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00147.jpeg.json,395.0392608642578,471.3979797363281,903.8091278076172,990.2030944824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00148.jpeg.json,439.7255859375,456.580322265625,902.031494140625,998.187255859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00149.jpeg.json,452.8345489501953,444.6728210449219,908.1781463623047,995.3922424316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00150.jpeg.json,510.0,400.0,905.0,1014.0
