ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00100.jpeg.json,358.0,640.0,815.0,1009.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00101.jpeg.json,365.51251220703125,634.8655548095703,808.2922973632812,1000.9722137451172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00102.jpeg.json,364.79119873046875,616.471923828125,812.4009399414062,1002.2822265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00103.jpeg.json,338.8459777832031,603.6004638671875,822.9927673339844,1000.2969970703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00104.jpeg.json,419.0,575.0,824.0,1018.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00105.jpeg.json,412.05406188964844,567.9445343017578,830.1178131103516,1000.7982635498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00106.jpeg.json,420.4406433105469,557.06201171875,841.6096496582031,1000.1322021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00107.jpeg.json,427.13482666015625,539.9597015380859,838.6355590820312,994.2701568603516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00108.jpeg.json,448.0,525.0,848.0,1023.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00109.jpeg.json,447.34483337402344,519.4751281738281,857.1316070556641,1001.1668395996094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00110.jpeg.json,457.87318420410156,506.24415588378906,873.9538421630859,998.2095794677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00111.jpeg.json,472.6244201660156,489.69146728515625,870.2608337402344,996.7847290039062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00112.jpeg.json,483.0,463.0,896.0,1007.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00113.jpeg.json,485.0133972167969,448.11590576171875,886.0412902832031,995.8519897460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__33-andar-agachado/ann/00114.jpeg.json,478.7346496582031,431.8085632324219,879.0055847167969,989.4636535644531
