ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00001.jpeg.json,749.4765167236328,549.0262145996094,1113.9054718017578,841.2001037597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00002.jpeg.json,783.8256683349609,525.5042419433594,1123.9087371826172,850.0683898925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00003.jpeg.json,775.5607299804688,517.0988159179688,1150.9165954589844,829.5759887695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00004.jpeg.json,858.5780487060547,455.40895080566406,1176.319076538086,817.7346038818359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00005.jpeg.json,742.1569061279297,501.21136474609375,1132.352279663086,846.6532592773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00006.jpeg.json,772.4838104248047,503.8800048828125,1120.232162475586,835.5023193359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00007.jpeg.json,820.42626953125,512.2517395019531,1136.7485656738281,803.1055603027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00008.jpeg.json,805.8004913330078,173.3286590576172,1072.7478790283203,469.7738800048828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00009.jpeg.json,852.8078079223633,162.525634765625,1059.953025817871,457.472412109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00010.jpeg.json,806.8813552856445,274.3552551269531,1017.8195419311523,466.6731262207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00011.jpeg.json,788.6800689697266,319.6493911743164,1010.7758331298828,468.9680404663086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00012.jpeg.json,788.8632354736328,301.41004180908203,997.6235504150391,461.4619674682617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00013.jpeg.json,771.978759765625,313.64622497558594,987.0588073730469,463.65736389160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00014.jpeg.json,790.5507354736328,326.2275161743164,993.4619293212891,466.63484954833984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00015.jpeg.json,833.7311782836914,314.40901947021484,1025.916618347168,470.1559829711914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00016.jpeg.json,770.1990356445312,333.8754577636719,998.8725280761719,473.9149475097656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00017.jpeg.json,768.7752456665039,330.95433044433594,991.0983810424805,468.2854766845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00018.jpeg.json,784.041145324707,331.10205841064453,1022.5253524780273,470.09410858154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00019.jpeg.json,824.2960433959961,264.0050735473633,1031.7068557739258,463.15013885498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00020.jpeg.json,755.5191497802734,334.9282455444336,994.5970306396484,469.69388580322266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00021.jpeg.json,792.6730804443359,328.93260955810547,1011.8390350341797,463.4514846801758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00022.jpeg.json,759.9483108520508,326.20406341552734,991.8553695678711,469.4102554321289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00023.jpeg.json,802.4833984375,329.64198303222656,1021.6985778808594,468.0397186279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00024.jpeg.json,799.6197128295898,343.9738464355469,1024.9804763793945,486.1011047363281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00025.jpeg.json,760.3624801635742,342.28682708740234,984.0535049438477,466.48270416259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00026.jpeg.json,856.0094299316406,338.79830169677734,1036.7007751464844,477.9020767211914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00027.jpeg.json,762.3352890014648,339.9149856567383,971.7048110961914,467.97460174560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00028.jpeg.json,782.2023696899414,335.7473793029785,990.5952377319336,462.44347763061523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00029.jpeg.json,780.3500518798828,341.3618354797363,993.9957733154297,460.3199882507324
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00030.jpeg.json,766.9415512084961,344.2337951660156,993.1311416625977,465.3744812011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00031.jpeg.json,755.8513336181641,341.7504119873047,966.1865081787109,456.1856231689453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00032.jpeg.json,742.6718368530273,334.7063789367676,944.7932510375977,449.1699028015137
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00033.jpeg.json,744.9135665893555,336.0671844482422,944.9970779418945,451.2536163330078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00034.jpeg.json,747.2495651245117,336.247257232666,955.0459060668945,455.751766204834
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00035.jpeg.json,745.3513107299805,334.23387145996094,949.2829055786133,452.83155822753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00036.jpeg.json,745.2983093261719,332.7568168640137,952.1355895996094,451.5328559875488
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00037.jpeg.json,745.6067504882812,331.4551200866699,949.7587280273438,452.5871162414551
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__10-andando-com-casaco-na-cadeira/ann/00038.jpeg.json,747.0845565795898,336.4906463623047,959.3620376586914,457.7309112548828
