ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00001.jpeg.json,750.0287322998047,435.3513832092285,928.3490753173828,500.3396873474121
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00002.jpeg.json,745.8004150390625,432.0416717529297,919.712158203125,496.8412322998047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00003.jpeg.json,749.7825241088867,433.20372009277344,919.6026077270508,497.70079040527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00004.jpeg.json,747.3723297119141,433.35231018066406,917.7643280029297,492.7664031982422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00005.jpeg.json,747.971321105957,434.3490753173828,922.011100769043,494.0951385498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00006.jpeg.json,750.9313278198242,434.6662063598633,920.9323196411133,493.0079879760742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00007.jpeg.json,752.6884384155273,433.667293548584,916.1685256958008,490.08798599243164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00008.jpeg.json,751.9909362792969,432.95825958251953,920.3096618652344,490.30086517333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00009.jpeg.json,749.6330871582031,432.12743377685547,916.7260131835938,490.90833282470703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00010.jpeg.json,750.0122299194336,433.0270175933838,923.6124038696289,492.59572410583496
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00011.jpeg.json,747.2286148071289,432.98614501953125,916.0122909545898,489.547119140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00012.jpeg.json,747.4747924804688,432.09950065612793,920.0458679199219,492.29524421691895
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00013.jpeg.json,749.0452194213867,433.2271270751953,923.3256301879883,492.76905822753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00014.jpeg.json,748.6127166748047,431.6838264465332,915.7569732666016,490.0764274597168
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00015.jpeg.json,749.2375335693359,432.1025161743164,919.3229827880859,490.49083709716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00016.jpeg.json,748.3258895874023,431.56232261657715,916.6277542114258,492.07390785217285
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00017.jpeg.json,748.5720367431641,433.90091133117676,918.6391754150391,492.8633098602295
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00018.jpeg.json,747.8806228637695,432.3841609954834,914.7794418334961,489.09331703186035
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00019.jpeg.json,750.8397064208984,430.7452869415283,921.7867584228516,490.6162853240967
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00020.jpeg.json,746.1598968505859,433.9493408203125,917.0989532470703,490.2069091796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00021.jpeg.json,751.2615356445312,431.9841423034668,914.3486328125,489.79729080200195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00022.jpeg.json,753.0479736328125,432.5983352661133,916.2454833984375,488.5891647338867
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00023.jpeg.json,751.902961730957,429.91786193847656,917.234245300293,489.15821838378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00024.jpeg.json,753.633659362793,433.03182792663574,918.3859634399414,491.4796772003174
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00025.jpeg.json,752.8705825805664,431.5039539337158,920.6129989624023,488.84074211120605
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00026.jpeg.json,746.3270874023438,431.4205665588379,916.5108947753906,488.64147567749023
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00027.jpeg.json,745.908088684082,433.1919479370117,919.418815612793,489.9841995239258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00028.jpeg.json,747.9264907836914,432.9511299133301,917.5014572143555,487.9869499206543
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00029.jpeg.json,748.7919616699219,430.853816986084,917.6199951171875,489.91626358032227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00030.jpeg.json,748.2796630859375,434.3696804046631,916.748779296875,490.3214817047119
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00031.jpeg.json,751.0394058227539,431.58127212524414,913.1723556518555,489.2941246032715
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00032.jpeg.json,751.6290893554688,431.20404624938965,914.8702697753906,488.39299964904785
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00033.jpeg.json,757.7325057983398,432.032527923584,917.4507827758789,489.1858253479004
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00034.jpeg.json,740.9464111328125,433.2029228210449,920.8570251464844,490.03801345825195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00035.jpeg.json,747.942985534668,432.9864101409912,915.8125381469727,488.15442848205566
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00036.jpeg.json,750.3567047119141,431.3760223388672,918.1633758544922,488.07472229003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00037.jpeg.json,746.7388229370117,429.90281105041504,916.9813613891602,488.1252956390381
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00038.jpeg.json,750.2913513183594,432.03964614868164,919.4494323730469,490.12804794311523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00039.jpeg.json,754.887336730957,430.46576499938965,926.6443405151367,491.50090980529785
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00040.jpeg.json,761.356330871582,430.0960388183594,923.6610336303711,489.59912109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00041.jpeg.json,759.1774520874023,430.6470355987549,923.3334732055664,489.56063652038574
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00042.jpeg.json,758.5916595458984,430.31297874450684,922.0600433349609,489.38437843322754
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00043.jpeg.json,757.2833480834961,431.4665222167969,920.7928237915039,491.0870056152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00044.jpeg.json,758.5287246704102,431.9095058441162,917.7300033569336,487.94004249572754
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00045.jpeg.json,757.6088638305664,431.43105697631836,916.213005065918,487.38940811157227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__13-teste-da-camisa-de-botoes/ann/00046.jpeg.json,756.4123916625977,431.4344654083252,916.2437973022461,488.2517833709717
