ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00001.jpeg.json,587.1514053344727,712.5777816772461,803.9417343139648,879.7439956665039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00002.jpeg.json,589.9568099975586,711.4349822998047,800.4924697875977,880.4716949462891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00003.jpeg.json,588.9876174926758,714.5064239501953,800.4092330932617,883.8516693115234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00004.jpeg.json,586.8332443237305,710.8108444213867,804.105842590332,882.1065139770508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00005.jpeg.json,585.9835433959961,713.6513748168945,803.4521255493164,880.9141159057617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00006.jpeg.json,588.5840835571289,709.6764984130859,804.3275985717773,881.8385162353516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00007.jpeg.json,590.8261184692383,714.5366363525391,804.0728073120117,882.0478973388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00008.jpeg.json,583.0633087158203,710.6908416748047,805.9208221435547,885.3892974853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00009.jpeg.json,587.6226043701172,713.6683120727539,804.0415191650391,882.7701034545898
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00010.jpeg.json,590.0530471801758,708.8104782104492,805.879997253418,879.920051574707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00011.jpeg.json,582.762321472168,712.6844940185547,806.4584426879883,887.3488311767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00012.jpeg.json,588.7563171386719,710.73291015625,801.5277404785156,883.7626953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00013.jpeg.json,587.3370666503906,711.4150924682617,803.3233947753906,885.8977737426758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00014.jpeg.json,587.5410842895508,713.9013442993164,804.145866394043,883.9984359741211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00015.jpeg.json,589.2087707519531,709.1531524658203,805.7746276855469,879.7521820068359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00016.jpeg.json,589.9500198364258,713.3415298461914,801.4020309448242,880.7220687866211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00017.jpeg.json,588.0227890014648,710.3028793334961,801.5931167602539,880.3204116821289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00018.jpeg.json,588.559196472168,715.1065902709961,801.126350402832,877.6467056274414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00019.jpeg.json,588.3922271728516,712.1665420532227,802.1707611083984,881.1260604858398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00020.jpeg.json,587.5696411132812,711.1076965332031,803.1680908203125,884.7189025878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00021.jpeg.json,587.2478485107422,707.1506881713867,803.2659454345703,885.3811111450195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00022.jpeg.json,586.1749649047852,713.8708572387695,801.7797470092773,882.298698425293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00023.jpeg.json,590.8158340454102,711.0204696655273,802.9215927124023,878.3796768188477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00024.jpeg.json,587.5761642456055,712.9543838500977,801.4693069458008,884.9394760131836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00025.jpeg.json,587.9442825317383,706.9088668823242,803.9550704956055,883.7017288208008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00026.jpeg.json,585.7927780151367,714.8947906494141,802.0935134887695,881.4514617919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00027.jpeg.json,590.9442443847656,713.1047744750977,803.4418640136719,879.5150985717773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00028.jpeg.json,587.09326171875,711.9312210083008,801.2412109375,880.402214050293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00029.jpeg.json,588.3049545288086,709.6784973144531,804.0881729125977,876.2217712402344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00030.jpeg.json,589.0824279785156,714.6477890014648,801.5870666503906,881.4910659790039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00031.jpeg.json,586.5631866455078,711.2853469848633,804.0616302490234,880.8661422729492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00032.jpeg.json,588.5195236206055,712.8839340209961,805.5478591918945,880.3887100219727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00033.jpeg.json,586.9456329345703,711.2800674438477,801.7377166748047,879.6706161499023
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00034.jpeg.json,591.0555038452148,713.2290191650391,801.5047988891602,879.4987030029297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00035.jpeg.json,586.6792221069336,711.5618667602539,801.9301528930664,880.2749862670898
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00036.jpeg.json,590.6798477172852,713.6384658813477,802.0331039428711,879.1386337280273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00037.jpeg.json,590.6757736206055,709.1033248901367,803.756965637207,882.0716018676758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00038.jpeg.json,586.7611389160156,715.3171615600586,800.2673645019531,880.8570327758789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__14-polichinelo-no-escuro/ann/00039.jpeg.json,588.5348052978516,711.9517059326172,801.9890594482422,881.4217681884766
