ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00001.jpeg.json,543.0,432.0,1742.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00002.jpeg.json,543.0,432.0,1742.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00003.jpeg.json,543.0,433.0,1745.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00004.jpeg.json,540.0,430.0,1748.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00005.jpeg.json,547.0,428.0,1747.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00006.jpeg.json,560.0,429.0,1753.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00007.jpeg.json,557.0,432.0,1753.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00008.jpeg.json,560.0,425.0,1751.0,1078.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00009.jpeg.json,553.0,425.0,1751.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00010.jpeg.json,566.0,424.0,1753.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00011.jpeg.json,562.0,425.0,1750.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00012.jpeg.json,554.0,425.0,1750.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00013.jpeg.json,557.0,428.0,1745.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00014.jpeg.json,558.0,429.0,1750.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00015.jpeg.json,548.0,427.0,1750.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00016.jpeg.json,554.0,427.0,1754.0,1078.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00017.jpeg.json,561.0,425.0,1753.0,1078.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00018.jpeg.json,549.0,419.0,1752.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00019.jpeg.json,552.0,420.0,1750.0,1078.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00020.jpeg.json,539.0,416.0,1773.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00021.jpeg.json,545.0,421.0,1750.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00022.jpeg.json,548.0,418.0,1752.0,1073.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00023.jpeg.json,549.0,414.0,1750.0,1073.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00024.jpeg.json,552.0,424.0,1748.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00025.jpeg.json,555.0,422.0,1752.0,1074.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00026.jpeg.json,566.0,419.0,1750.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00027.jpeg.json,564.0,422.0,1747.0,1076.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00028.jpeg.json,567.0,418.0,1751.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00029.jpeg.json,555.0,423.0,1747.0,1074.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00030.jpeg.json,561.0,421.0,1750.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00031.jpeg.json,563.0,423.0,1748.0,1075.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00032.jpeg.json,553.0,412.0,1763.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00033.jpeg.json,547.0,410.0,1755.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00034.jpeg.json,545.0,407.0,1756.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00035.jpeg.json,542.0,405.0,1755.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00036.jpeg.json,539.0,403.0,1755.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00037.jpeg.json,537.0,401.0,1757.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00038.jpeg.json,537.0,403.0,1755.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00039.jpeg.json,541.0,412.0,1755.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00040.jpeg.json,541.0,409.0,1758.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00041.jpeg.json,507.0,383.0,1763.0,1068.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00042.jpeg.json,537.0,407.0,1762.0,1079.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00043.jpeg.json,539.0,409.0,1758.0,1077.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00044.jpeg.json,549.0,409.0,1762.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00045.jpeg.json,547.0,407.0,1759.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00046.jpeg.json,495.0,393.0,1762.0,1067.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00047.jpeg.json,542.0,406.0,1763.0,1080.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00048.jpeg.json,494.0,391.0,1762.0,1067.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00049.jpeg.json,507.0,390.0,1762.0,1067.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00050.jpeg.json,507.0,387.0,1759.0,1064.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__3-deitando-nas-cadeiras/ann/00051.jpeg.json,504.0,393.0,1758.0,1066.0
