ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00001.jpeg.json,805.2045211791992,120.99516296386719,1008.5753860473633,411.07228088378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00002.jpeg.json,814.4093246459961,135.40089416503906,1021.1786270141602,413.1498260498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00003.jpeg.json,815.1063079833984,108.75260925292969,1008.7575225830078,391.18495178222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00004.jpeg.json,814.0928802490234,126.73283386230469,1015.5965728759766,406.15821838378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00005.jpeg.json,806.1565093994141,112.4827880859375,999.9937591552734,389.75518798828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00006.jpeg.json,792.4306335449219,141.60401916503906,993.0032653808594,404.28196716308594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00007.jpeg.json,804.9338226318359,122.61677551269531,1004.7119903564453,379.69383239746094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00008.jpeg.json,824.640495300293,115.02468872070312,1016.4541702270508,377.7882995605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00009.jpeg.json,820.9001693725586,100.11045837402344,1011.6885147094727,368.4418487548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00010.jpeg.json,826.1052551269531,109.74665832519531,1015.9361877441406,383.37461853027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00011.jpeg.json,816.1077346801758,88.04942321777344,1003.085563659668,371.3460235595703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00012.jpeg.json,795.4458694458008,113.73777770996094,989.2749557495117,387.4291534423828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00013.jpeg.json,826.5473861694336,99.61325073242188,1016.7461318969727,378.1086120605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00014.jpeg.json,825.0320587158203,123.90214538574219,1027.1873016357422,384.6211700439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00015.jpeg.json,813.7502670288086,109.75770568847656,1009.3084487915039,380.40196228027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00016.jpeg.json,826.5615844726562,105.10745239257812,1015.1006469726562,379.1455383300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00017.jpeg.json,826.6423263549805,128.15345764160156,1024.7514114379883,386.56150817871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00018.jpeg.json,814.2672348022461,105.79530334472656,1007.8105850219727,375.13877868652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00019.jpeg.json,800.1491317749023,111.22650146484375,979.1635513305664,383.608154296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00020.jpeg.json,829.9729614257812,90.40487670898438,1016.2647705078125,366.1625671386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00021.jpeg.json,800.167121887207,120.047607421875,980.2394943237305,383.3763427734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00022.jpeg.json,830.9982681274414,94.0894775390625,1015.1066513061523,370.66986083984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00023.jpeg.json,833.8952560424805,95.53346252441406,1020.6852493286133,361.4714813232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00024.jpeg.json,826.8035125732422,102.07328033447266,1017.1484527587891,356.7501449584961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00025.jpeg.json,819.650390625,92.88339233398438,1005.4089965820312,368.4444885253906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00026.jpeg.json,806.7951507568359,105.41914367675781,987.6035308837891,375.9169158935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00027.jpeg.json,824.4625244140625,87.20361328125,1011.3040771484375,371.8465576171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00028.jpeg.json,826.1306915283203,102.77760314941406,1023.9293060302734,364.7375946044922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00029.jpeg.json,819.7614288330078,110.61149597167969,1010.9943084716797,379.9918975830078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00030.jpeg.json,826.1044998168945,103.69010925292969,1021.6345138549805,368.22560119628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00031.jpeg.json,818.8904647827148,126.20459747314453,1019.1298599243164,376.1277389526367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00032.jpeg.json,816.7628936767578,120.86962127685547,1006.3210296630859,369.02979278564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00033.jpeg.json,809.5796737670898,121.82378387451172,1008.8373184204102,363.18067169189453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00034.jpeg.json,814.2528915405273,114.17643737792969,1003.6315078735352,374.75685119628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00035.jpeg.json,823.2687149047852,119.79310607910156,1018.8340072631836,392.4908905029297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00036.jpeg.json,815.3557968139648,105.30632019042969,1003.5393447875977,382.06959533691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00037.jpeg.json,829.6661148071289,110.91366577148438,1025.2546615600586,394.6167297363281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00038.jpeg.json,813.7633972167969,107.84141540527344,1010.5898742675781,385.3199005126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00039.jpeg.json,801.6733703613281,108.94662475585938,993.9212951660156,384.0339660644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00040.jpeg.json,822.8089981079102,116.62994384765625,1019.5558700561523,391.50482177734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00041.jpeg.json,809.6505966186523,120.71189880371094,1000.9703140258789,387.44166564941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00042.jpeg.json,814.5857086181641,99.56222534179688,1000.2228851318359,374.9345397949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00043.jpeg.json,821.2568664550781,114.47213745117188,1010.5440979003906,387.9212341308594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00044.jpeg.json,809.1819305419922,107.35908508300781,996.3719635009766,377.02366638183594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00045.jpeg.json,822.9834899902344,101.23101806640625,1013.0224304199219,376.37847900390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00046.jpeg.json,815.0763320922852,110.823486328125,1003.3441390991211,384.0736083984375
