ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00001.jpeg.json,732.652322769165,389.37536239624023,742.652322769165,403.1384620666504
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00002.jpeg.json,732.1373672485352,392.398663520813,742.1373672485352,403.95936489105225
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00003.jpeg.json,732.0744380950928,391.6014199256897,742.0744380950928,402.8817801475525
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00004.jpeg.json,732.044942855835,391.8549575805664,742.044942855835,403.28334045410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00005.jpeg.json,731.9952201843262,392.12688159942627,741.9952201843262,403.4281225204468
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00006.jpeg.json,731.9442596435547,391.5895662307739,741.9442596435547,402.6998586654663
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00007.jpeg.json,731.7116165161133,392.06697368621826,741.7116165161133,403.168927192688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00008.jpeg.json,731.5858325958252,391.35403776168823,741.5858325958252,402.758572101593
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00009.jpeg.json,732.0936470031738,391.8741846084595,742.0936470031738,402.4216718673706
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00010.jpeg.json,732.0306396484375,391.9773826599121,742.0306396484375,402.21375274658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00011.jpeg.json,732.5823078155518,392.091197013855,742.5823078155518,402.4532632827759
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00012.jpeg.json,732.6585540771484,391.5812568664551,742.6585540771484,402.37987899780273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00013.jpeg.json,732.6787357330322,391.1363444328308,742.6787357330322,401.6737790107727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00014.jpeg.json,733.5083827972412,391.7275285720825,743.5083827972412,402.3264799118042
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00015.jpeg.json,732.9195976257324,391.5436120033264,742.9195976257324,402.2927565574646
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00016.jpeg.json,733.1442947387695,391.6461110115051,743.1442947387695,402.3438220024109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00017.jpeg.json,733.6014366149902,391.5491032600403,743.6014366149902,402.0614085197449
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00018.jpeg.json,733.43922996521,390.95455026626587,743.43922996521,401.454297542572
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00019.jpeg.json,733.5664138793945,390.8755121231079,743.5664138793945,401.535605430603
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00020.jpeg.json,732.5977535247803,390.8121781349182,742.5977535247803,401.5479292869568
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00021.jpeg.json,733.3766403198242,391.8134808540344,743.3766403198242,402.40310621261597
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00022.jpeg.json,732.9564037322998,391.60066652297974,742.9564037322998,402.1498866081238
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00023.jpeg.json,733.1216239929199,391.06551361083984,743.1216239929199,401.5289497375488
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00024.jpeg.json,732.4869537353516,391.3026990890503,742.4869537353516,401.7653589248657
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00025.jpeg.json,733.3293418884277,391.010657787323,743.3293418884277,401.61328172683716
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00026.jpeg.json,732.8040199279785,391.7903108596802,742.8040199279785,402.69829082489014
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00027.jpeg.json,732.4147090911865,391.5862603187561,742.4147090911865,402.357976436615
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00028.jpeg.json,733.1263332366943,391.11651039123535,743.1263332366943,402.0159168243408
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00029.jpeg.json,733.1152095794678,391.5719633102417,743.1152095794678,402.0653314590454
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00030.jpeg.json,732.906457901001,391.10591888427734,742.906457901001,401.5426826477051
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00031.jpeg.json,732.460090637207,390.9911732673645,742.460090637207,401.7361674308777
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00032.jpeg.json,732.5852317810059,391.17861795425415,742.5852317810059,402.3234496116638
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00033.jpeg.json,731.9938926696777,391.7003245353699,741.9938926696777,402.6400876045227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00034.jpeg.json,732.4398193359375,391.26709938049316,742.4398193359375,403.1782855987549
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00035.jpeg.json,731.7597332000732,391.42653703689575,741.7597332000732,403.4029803276062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00036.jpeg.json,732.6318531036377,391.1834363937378,742.6318531036377,404.2663354873657
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00037.jpeg.json,733.2220363616943,388.8927593231201,743.2220363616943,403.27586936950684
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00038.jpeg.json,733.1578903198242,389.15612268447876,743.1578903198242,404.4604697227478
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00039.jpeg.json,733.0112972259521,386.98440742492676,743.1524295806885,403.9397487640381
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00040.jpeg.json,733.5810613632202,387.02632427215576,744.7140283584595,403.7205514907837
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00041.jpeg.json,734.5582118034363,385.7864942550659,745.9428486824036,403.89189624786377
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00042.jpeg.json,734.4120426177979,384.99601554870605,746.4274044036865,403.28435707092285
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00043.jpeg.json,734.8499956130981,383.7020797729492,748.8738355636597,403.5809020996094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00044.jpeg.json,734.7786893844604,382.0475034713745,750.9887590408325,403.75829792022705
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00045.jpeg.json,734.5769624710083,375.12395095825195,752.431300163269,403.5179786682129
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00046.jpeg.json,734.3412055969238,367.8063678741455,754.2624397277832,403.5873165130615
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00047.jpeg.json,735.4109182357788,364.08277130126953,755.0060052871704,403.6424865722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00048.jpeg.json,735.4144897460938,365.4628429412842,755.5011444091797,404.0855121612549
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00049.jpeg.json,735.684606552124,363.32323837280273,755.4665699005127,402.5629539489746
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00050.jpeg.json,735.488184928894,361.95739936828613,755.5780916213989,402.3941478729248
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00051.jpeg.json,734.3805046081543,362.01585388183594,755.3496284484863,402.4873809814453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00052.jpeg.json,734.7619552612305,357.73517990112305,755.5940475463867,402.7014961242676
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00053.jpeg.json,734.8134088516235,357.35215759277344,755.7795324325562,402.20631408691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00054.jpeg.json,734.8033494949341,358.0320625305176,755.1953840255737,403.0333366394043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00055.jpeg.json,734.9884347915649,357.7762279510498,756.1801290512085,403.73692512512207
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00056.jpeg.json,735.7178440093994,354.3471260070801,756.3189907073975,402.4346580505371
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00057.jpeg.json,735.6137065887451,355.48179626464844,756.8982257843018,403.2175598144531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00058.jpeg.json,735.5091171264648,357.3146381378174,758.3411483764648,402.9260082244873
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00059.jpeg.json,732.4395627975464,355.6550350189209,763.1981935501099,404.2710208892822
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00060.jpeg.json,732.7818870544434,354.16637992858887,771.8191261291504,404.5825366973877
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00061.jpeg.json,733.124475479126,354.05126571655273,779.6975917816162,407.7130928039551
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00062.jpeg.json,737.3134231567383,353.2853603363037,786.550666809082,410.182092666626
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00063.jpeg.json,738.023962020874,351.83684730529785,794.3385410308838,410.1152400970459
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00064.jpeg.json,740.8557415008545,349.93519020080566,800.8725147247314,412.5415859222412
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00065.jpeg.json,737.2500267028809,350.6075382232666,795.6597633361816,412.5626735687256
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00066.jpeg.json,740.3049507141113,345.75691413879395,802.430492401123,409.26135063171387
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00067.jpeg.json,738.1071357727051,349.36620140075684,800.7389030456543,411.3788242340088
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00068.jpeg.json,738.7977485656738,349.31786727905273,807.2483940124512,409.971378326416
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00069.jpeg.json,745.7634887695312,349.88072776794434,816.3669738769531,411.5952854156494
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00070.jpeg.json,737.5328102111816,349.6454734802246,805.7841453552246,411.5835609436035
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00071.jpeg.json,744.2626037597656,348.165376663208,819.1154022216797,404.3655376434326
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00072.jpeg.json,748.1078186035156,347.7745895385742,825.2326812744141,393.42569732666016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00073.jpeg.json,747.9931564331055,347.2075901031494,825.6042404174805,380.9768123626709
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00074.jpeg.json,748.585521697998,345.34549140930176,826.4745826721191,380.5711498260498
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00075.jpeg.json,749.3132400512695,346.04940605163574,828.9279861450195,379.42332649230957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00076.jpeg.json,750.1072273254395,347.18652153015137,832.6956443786621,376.40315437316895
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00077.jpeg.json,749.2930297851562,347.16957092285156,828.8529205322266,375.9613342285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00078.jpeg.json,749.709056854248,346.9977283477783,830.7514381408691,393.10775566101074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00079.jpeg.json,751.7626419067383,347.95336532592773,827.0463943481445,405.18600845336914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00080.jpeg.json,747.3711357116699,348.0680503845215,823.0743141174316,404.21008682250977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00081.jpeg.json,748.3472175598145,348.62183570861816,823.3474082946777,409.0343532562256
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00082.jpeg.json,746.2314491271973,348.217737197876,823.5690422058105,408.39093589782715
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00083.jpeg.json,755.6360626220703,349.7115821838379,823.9939117431641,409.68420028686523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00084.jpeg.json,752.2473678588867,349.2061595916748,823.1911392211914,410.14683723449707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00085.jpeg.json,744.1161613464355,349.8358554840088,823.1678657531738,410.65648460388184
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00086.jpeg.json,740.1755409240723,348.30865478515625,823.9523887634277,410.58453369140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00087.jpeg.json,752.5267333984375,346.64590072631836,824.4337768554688,411.29785537719727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00088.jpeg.json,748.325569152832,344.9160385131836,833.6074447631836,410.9914016723633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00089.jpeg.json,747.1640853881836,343.5515594482422,873.8716506958008,420.76939392089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00090.jpeg.json,770.3192558288574,234.71930313110352,876.6989936828613,356.4937400817871
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00091.jpeg.json,794.533275604248,163.12676620483398,878.3289680480957,277.95724868774414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00092.jpeg.json,848.8418769836426,134.01360702514648,970.6886405944824,221.93820571899414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00093.jpeg.json,851.1507263183594,102.39913940429688,955.1488037109375,235.24240112304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00094.jpeg.json,851.2454414367676,82.83201599121094,954.1908988952637,232.93324279785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00095.jpeg.json,849.0,72.0,963.0,243.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00096.jpeg.json,840.0,71.0,990.0,261.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00097.jpeg.json,845.0,94.0,975.0,277.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00098.jpeg.json,849.4324569702148,103.9778823852539,1011.4544448852539,280.28231048583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00099.jpeg.json,858.8667678833008,98.5522689819336,1054.1287155151367,290.98111724853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00100.jpeg.json,759.0,61.0,1074.0,428.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__8-caindo-de-costas/ann/00101.jpeg.json,772.0,73.0,1113.0,423.0
