ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00001.jpeg.json,415.6781234741211,155.92269134521484,602.3351821899414,380.1133804321289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00002.jpeg.json,414.90076446533203,154.87616729736328,597.9846115112305,410.35961151123047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00003.jpeg.json,413.20262145996094,140.37139129638672,602.3584747314453,382.3993606567383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00004.jpeg.json,418.0229949951172,160.51686096191406,602.8847808837891,390.0531463623047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00005.jpeg.json,410.54517364501953,146.47512817382812,597.9116134643555,384.9907531738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00006.jpeg.json,414.61205291748047,140.17861938476562,601.7233352661133,383.1865539550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00007.jpeg.json,400.79620361328125,127.93761444091797,597.8433227539062,375.54798126220703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00008.jpeg.json,392.39185333251953,132.42212677001953,588.1538619995117,351.37108612060547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00009.jpeg.json,428.1070327758789,160.82515716552734,604.6433944702148,385.0864028930664
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00010.jpeg.json,408.2514953613281,135.97753143310547,604.5240173339844,377.25354766845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00011.jpeg.json,416.67210388183594,151.60462188720703,601.4225616455078,387.3597946166992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00012.jpeg.json,416.2746353149414,148.77276611328125,602.1592025756836,376.60711669921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00013.jpeg.json,416.69335174560547,154.81079864501953,602.6544876098633,369.47154998779297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00014.jpeg.json,428.0326919555664,166.00748443603516,601.6946029663086,377.30806732177734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00015.jpeg.json,426.9194641113281,171.25545501708984,603.5877380371094,379.16080474853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00016.jpeg.json,411.81880950927734,138.67832946777344,603.8520889282227,373.4031524658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00017.jpeg.json,413.56842041015625,155.32598114013672,602.81689453125,381.7266311645508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00018.jpeg.json,416.65975189208984,157.17203521728516,604.5997085571289,372.31624603271484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00019.jpeg.json,425.14305114746094,168.5838851928711,602.8408355712891,373.38724517822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00020.jpeg.json,414.5195541381836,136.25350189208984,600.6135025024414,378.3014907836914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00021.jpeg.json,425.79708099365234,141.41683959960938,599.3718032836914,392.3728942871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00022.jpeg.json,409.60304260253906,120.37948608398438,603.9499359130859,387.8295593261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00023.jpeg.json,426.8416442871094,144.11009216308594,604.7787780761719,403.75831604003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00024.jpeg.json,413.6102523803711,120.79595947265625,600.4838638305664,405.58624267578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00025.jpeg.json,424.16226959228516,137.1963653564453,599.3188705444336,388.46226501464844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00026.jpeg.json,414.23675537109375,135.75303649902344,601.4918823242188,385.43861389160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00027.jpeg.json,419.72906494140625,155.46511840820312,604.705810546875,395.1143493652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00028.jpeg.json,415.40541076660156,127.09091186523438,607.3958587646484,398.5343933105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00029.jpeg.json,417.9601593017578,131.87252807617188,602.4189910888672,417.9454040527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00030.jpeg.json,414.6928482055664,129.78619384765625,591.0380477905273,407.47467041015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00031.jpeg.json,420.49369049072266,148.27978515625,605.7060775756836,379.974853515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00032.jpeg.json,405.37123107910156,137.96646118164062,594.8109588623047,360.4515686035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00033.jpeg.json,351.5732116699219,110.91221618652344,528.8428649902344,317.89381408691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00034.jpeg.json,424.18304443359375,157.3332748413086,601.6483154296875,381.78714752197266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00035.jpeg.json,416.0981140136719,134.4991683959961,601.3706359863281,374.82889556884766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00036.jpeg.json,422.96018981933594,164.79783630371094,601.6805572509766,380.53822326660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00037.jpeg.json,419.6350860595703,156.07500457763672,602.0430145263672,374.1245803833008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00038.jpeg.json,414.2127227783203,157.7917022705078,604.4923553466797,377.48228454589844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00039.jpeg.json,416.15562438964844,166.66138458251953,604.2262115478516,386.7329635620117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00040.jpeg.json,410.7516326904297,129.35986328125,599.7987213134766,381.68841552734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00041.jpeg.json,426.3460998535156,144.18222045898438,601.4591369628906,389.9714050292969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00042.jpeg.json,417.8847885131836,145.71310424804688,600.1525650024414,404.8742980957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00043.jpeg.json,411.79634857177734,139.0454559326172,599.1135025024414,386.5535430908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00044.jpeg.json,417.2481460571289,144.73978424072266,600.8571395874023,385.1725082397461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00045.jpeg.json,419.91102600097656,151.98160552978516,599.6237030029297,400.3963851928711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00046.jpeg.json,420.39147186279297,140.54419708251953,600.646858215332,390.62169647216797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00047.jpeg.json,422.6793746948242,147.67044067382812,598.362922668457,406.9957580566406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00048.jpeg.json,413.49603271484375,141.08196258544922,599.6398315429688,388.3728713989258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00049.jpeg.json,417.1640853881836,148.29610443115234,600.2015151977539,391.83975982666016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00050.jpeg.json,415.52462005615234,146.0562973022461,602.2330093383789,390.86722564697266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00051.jpeg.json,413.2608337402344,142.29031372070312,598.7607727050781,396.4623107910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00052.jpeg.json,410.0567932128906,140.11687469482422,608.7893981933594,389.5858840942383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00053.jpeg.json,428.82129669189453,147.92889404296875,603.7186813354492,447.575927734375
