ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00001.jpeg.json,1016.8267517089844,288.2257537841797,1186.0345764160156,432.6503448486328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00002.jpeg.json,1008.0968322753906,265.292236328125,1180.2287292480469,413.2818603515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00003.jpeg.json,1026.2188034057617,265.27294921875,1179.9526443481445,412.67840576171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00004.jpeg.json,1035.191307067871,266.3221435546875,1179.9051895141602,403.7293701171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00005.jpeg.json,1038.509910583496,253.72640228271484,1176.9698867797852,385.0013198852539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00006.jpeg.json,1034.1998291015625,269.5013122558594,1188.7085571289062,412.0340270996094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00007.jpeg.json,1033.5978698730469,264.29518127441406,1176.8701477050781,398.6406707763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00008.jpeg.json,1030.8751907348633,263.6606140136719,1181.4191818237305,409.1451721191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00009.jpeg.json,1033.6899337768555,258.0856246948242,1175.7920608520508,402.46643829345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00010.jpeg.json,1027.2979278564453,266.6811065673828,1180.3259735107422,402.91404724121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00011.jpeg.json,1042.2670516967773,262.60152435302734,1175.0036392211914,398.99723052978516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00012.jpeg.json,1034.6779327392578,264.30516052246094,1172.8992767333984,394.95423889160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00013.jpeg.json,1023.3186950683594,255.58075714111328,1186.5710144042969,407.6364059448242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00014.jpeg.json,1006.0499649047852,291.72863006591797,1183.1731185913086,428.12134552001953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00015.jpeg.json,1026.0421905517578,252.7756576538086,1181.273422241211,402.67105865478516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00016.jpeg.json,1024.7074432373047,260.00289154052734,1182.879898071289,420.07462310791016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00017.jpeg.json,1005.866096496582,267.0846481323242,1178.4915084838867,411.41541290283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00018.jpeg.json,1041.1415100097656,253.9048614501953,1173.8943176269531,399.7035369873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00019.jpeg.json,1030.997543334961,306.17708587646484,1184.9129180908203,429.92273712158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00020.jpeg.json,1039.9248657226562,263.47547912597656,1171.70849609375,395.70167541503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00021.jpeg.json,1040.6351699829102,300.26644134521484,1181.6122665405273,429.2294692993164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00022.jpeg.json,1034.6518096923828,257.3930435180664,1173.6338958740234,394.9496078491211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00023.jpeg.json,1042.6654357910156,280.4714813232422,1179.8548889160156,414.85377502441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00024.jpeg.json,1032.9374389648438,274.90209197998047,1185.5540161132812,412.54798126220703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00025.jpeg.json,1033.1435012817383,259.6421432495117,1173.2665328979492,399.24182891845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00026.jpeg.json,1041.5889282226562,265.1280517578125,1178.627197265625,405.95867919921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00027.jpeg.json,1031.725975036621,257.1455993652344,1176.9211807250977,397.7124328613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00028.jpeg.json,1036.6365585327148,258.5536346435547,1182.6913833618164,407.69361877441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00029.jpeg.json,1019.4518203735352,262.0658721923828,1174.515281677246,407.5673065185547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00030.jpeg.json,1021.4011077880859,252.42620849609375,1170.147232055664,401.12298583984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00031.jpeg.json,1000.1456985473633,273.97996520996094,1176.4397506713867,422.30714416503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00032.jpeg.json,996.7668609619141,294.81819915771484,1180.376205444336,427.5070571899414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00033.jpeg.json,1013.6368179321289,261.1258316040039,1185.710594177246,409.55794525146484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00034.jpeg.json,1035.436637878418,260.0837173461914,1180.9689407348633,401.66707611083984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00035.jpeg.json,1027.7229461669922,276.0192565917969,1179.7376251220703,424.0108337402344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__18-agachamento-no-escuro/ann/00036.jpeg.json,989.2857284545898,311.04933166503906,1175.7690811157227,441.47142028808594
