ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00001.jpeg.json,986.3034210205078,386.0018615722656,1321.1365203857422,875.6535339355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00002.jpeg.json,997.2098083496094,397.2795715332031,1266.9199523925781,888.2041931152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00003.jpeg.json,994.0980072021484,380.5702819824219,1367.8253326416016,880.2637023925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00004.jpeg.json,989.1162872314453,397.3359069824219,1276.0591278076172,881.7601623535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00005.jpeg.json,1011.1430053710938,411.7792053222656,1416.2765502929688,879.8731384277344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00006.jpeg.json,1009.9408721923828,382.0110168457031,1317.8024139404297,886.8099060058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00007.jpeg.json,1002.7831420898438,388.8892059326172,1265.8463745117188,875.7439727783203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00008.jpeg.json,1007.41357421875,377.7001190185547,1278.0,869.3969268798828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00009.jpeg.json,980.316291809082,422.11004638671875,1221.295280456543,870.9263305664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00010.jpeg.json,994.1399841308594,384.5106658935547,1264.7817687988281,864.0506134033203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00011.jpeg.json,987.4028472900391,382.3041687011719,1301.5994720458984,880.0451965332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00012.jpeg.json,1004.6712188720703,386.9344177246094,1309.7255096435547,880.2871398925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00013.jpeg.json,989.4950866699219,392.8173522949219,1318.4490051269531,874.3408508300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00014.jpeg.json,1012.1132354736328,404.3270568847656,1300.2050018310547,881.4231872558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00015.jpeg.json,996.3306884765625,394.6241912841797,1285.02783203125,865.3216094970703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00016.jpeg.json,989.2460021972656,408.0540466308594,1259.6664733886719,874.4613342285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00017.jpeg.json,1017.0627136230469,380.21641540527344,1322.8396301269531,870.6794586181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00018.jpeg.json,986.7515335083008,422.1744689941406,1214.0364303588867,873.6462097167969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00019.jpeg.json,1011.665283203125,399.15985107421875,1401.693115234375,882.6705932617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__19-busto-do-manequim-no-escuro/ann/00020.jpeg.json,1004.8663787841797,370.8565216064453,1302.9394073486328,873.2666473388672
