ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00001.jpeg.json,610.2122802734375,477.5751953125,934.0419311523438,764.0726318359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00002.jpeg.json,603.6109161376953,481.55743408203125,916.5447845458984,773.6657104492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00003.jpeg.json,596.8615264892578,483.33331298828125,899.4378509521484,771.2094116210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00004.jpeg.json,601.7253112792969,479.5586242675781,924.8829040527344,768.4069519042969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00005.jpeg.json,605.7867889404297,482.1696472167969,929.1775054931641,771.1172180175781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00006.jpeg.json,600.6837463378906,476.7062072753906,883.8069152832031,766.0975036621094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00007.jpeg.json,609.2417755126953,486.27281188964844,926.2905120849609,768.4980621337891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00008.jpeg.json,604.6526794433594,477.14556884765625,899.3421325683594,771.7086791992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00009.jpeg.json,600.5913696289062,478.16754150390625,905.8258056640625,766.8524780273438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00010.jpeg.json,607.1054992675781,480.2289123535156,938.7951965332031,766.8241882324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00011.jpeg.json,604.3399658203125,482.2734375,921.3698120117188,770.2264404296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00012.jpeg.json,611.2830047607422,477.70384216308594,888.8083648681641,759.1568756103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__23-sentar-e-com-dificuldade/ann/00013.jpeg.json,605.9536437988281,478.1127014160156,919.7903137207031,768.5053405761719
