ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00001.jpeg.json,1027.7782897949219,407.4777374267578,1403.9367980957031,650.6808319091797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00002.jpeg.json,1033.2210235595703,409.74342346191406,1384.5874481201172,716.0870208740234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00003.jpeg.json,1003.7102203369141,410.01380157470703,1378.896957397461,665.6318283081055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00004.jpeg.json,1007.1858978271484,421.9232940673828,1403.836685180664,681.2949676513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00005.jpeg.json,1045.7283172607422,353.08177185058594,1472.7718048095703,640.3667144775391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00006.jpeg.json,1045.6118774414062,370.03184509277344,1445.6073608398438,644.8731842041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00007.jpeg.json,1036.9091339111328,391.1834716796875,1447.0951385498047,648.87255859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00008.jpeg.json,1001.2350463867188,425.14781188964844,1429.6729125976562,681.1550445556641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00009.jpeg.json,1001.7701416015625,426.44740295410156,1439.8819580078125,694.0137786865234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00010.jpeg.json,1007.2051544189453,408.3744583129883,1455.1790008544922,660.2742233276367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00011.jpeg.json,999.8809967041016,408.4404754638672,1461.2811126708984,684.4551544189453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00012.jpeg.json,1024.875503540039,404.23606872558594,1436.853988647461,689.3891754150391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00013.jpeg.json,1006.3983306884766,418.60609436035156,1430.775131225586,727.7781829833984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00014.jpeg.json,1030.7202606201172,392.9589385986328,1446.9015655517578,665.8777313232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00015.jpeg.json,1020.2138061523438,385.4443664550781,1464.7957153320312,653.2463073730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00016.jpeg.json,1010.8530883789062,370.70513916015625,1482.6096801757812,645.6637573242188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00017.jpeg.json,997.4277191162109,424.5209274291992,1452.0938873291016,673.3803176879883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00018.jpeg.json,1022.7237548828125,376.88720703125,1450.5267333984375,660.604248046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00019.jpeg.json,1005.2869873046875,421.11814880371094,1408.9542236328125,682.4369049072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00020.jpeg.json,1091.1496276855469,330.41986083984375,1489.1472473144531,588.0530395507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00021.jpeg.json,1047.3416595458984,354.8590087890625,1480.0675201416016,620.9290771484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00022.jpeg.json,1006.6015167236328,416.02833557128906,1429.3811492919922,675.1224212646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00023.jpeg.json,995.7710113525391,429.63553619384766,1444.1231536865234,682.3293075561523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00024.jpeg.json,1003.3537902832031,408.9537353515625,1454.1656188964844,665.8775634765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00025.jpeg.json,1006.7266998291016,413.3559875488281,1452.013412475586,671.2521667480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00026.jpeg.json,1026.9871826171875,410.3824768066406,1435.9752197265625,686.6855163574219
