ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00001.jpeg.json,1031.752555847168,465.2434387207031,1255.8305740356445,660.5145568847656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00002.jpeg.json,1049.3550033569336,455.09019470214844,1263.1166152954102,641.0174102783203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00003.jpeg.json,880.3898162841797,396.3956832885742,1128.2635650634766,610.4379348754883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00004.jpeg.json,857.2620391845703,313.7152633666992,1095.5792083740234,522.5423049926758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00005.jpeg.json,1029.688102722168,436.55066680908203,1275.266731262207,637.1880416870117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00006.jpeg.json,1019.6681594848633,439.2171325683594,1267.4121627807617,635.6692810058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00007.jpeg.json,1056.8720321655273,459.6501235961914,1311.3366470336914,641.9520492553711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00008.jpeg.json,829.8562088012695,263.1167984008789,1079.2936325073242,490.3443832397461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00009.jpeg.json,800.5967102050781,244.6162567138672,1072.7580871582031,465.5065460205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00010.jpeg.json,773.0873565673828,202.1166534423828,1060.238265991211,425.0610809326172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00011.jpeg.json,789.9176864624023,200.44691467285156,1040.281349182129,430.69651794433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00012.jpeg.json,770.1794586181641,214.56038665771484,1028.3474578857422,433.4872817993164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00013.jpeg.json,801.1678161621094,205.05106353759766,1034.2381286621094,424.89485931396484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00014.jpeg.json,797.378791809082,216.5863037109375,1027.1377487182617,425.53936767578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00015.jpeg.json,810.4300003051758,200.9176025390625,1042.2865524291992,409.87786865234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00016.jpeg.json,836.9655609130859,217.1840591430664,1055.1527252197266,435.5514144897461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00017.jpeg.json,821.6576309204102,275.0977783203125,1055.4162826538086,468.531982421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00018.jpeg.json,810.0680541992188,260.67774200439453,1042.7177124023438,471.5524215698242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00019.jpeg.json,811.7032852172852,241.2760772705078,1060.7478866577148,455.4669647216797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00020.jpeg.json,831.6267929077148,167.1067352294922,1079.814796447754,402.3180694580078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00021.jpeg.json,780.8153686523438,177.0548095703125,1027.4630126953125,419.7628173828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00022.jpeg.json,761.4701461791992,206.89111328125,1011.2089920043945,438.1705322265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00023.jpeg.json,774.3752365112305,222.6483383178711,1017.973762512207,443.8729019165039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00024.jpeg.json,784.4572219848633,230.0260009765625,1030.609001159668,442.971435546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00025.jpeg.json,790.7955627441406,231.9667510986328,1049.4706115722656,436.4158172607422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00026.jpeg.json,802.4785690307617,219.69953155517578,1027.2560501098633,439.56163787841797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00027.jpeg.json,782.0576324462891,193.05953979492188,1016.9767913818359,408.9288024902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00028.jpeg.json,800.6135711669922,171.56793212890625,1038.5402374267578,384.09991455078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00029.jpeg.json,765.800407409668,224.49899291992188,993.3262405395508,438.2373962402344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00030.jpeg.json,798.9931335449219,246.49585723876953,1034.6922302246094,432.6846237182617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00031.jpeg.json,823.7618865966797,294.2414016723633,1052.9681549072266,483.4884567260742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00032.jpeg.json,841.3275299072266,292.8514938354492,1080.0961151123047,497.61902618408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00033.jpeg.json,865.9883193969727,315.5151596069336,1119.809226989746,530.7403945922852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00034.jpeg.json,1059.1477661132812,426.99742126464844,1354.4617309570312,644.3584747314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00035.jpeg.json,992.2108917236328,368.3120346069336,1289.8287811279297,592.3197402954102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00036.jpeg.json,1050.3633728027344,438.05928802490234,1347.0766296386719,659.9007949829102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00037.jpeg.json,1040.5457000732422,398.4921646118164,1333.3477935791016,617.8100814819336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00038.jpeg.json,1046.307373046875,431.45838165283203,1364.1575317382812,641.504997253418
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00039.jpeg.json,1072.5242309570312,435.8768844604492,1383.1261596679688,632.3194046020508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00040.jpeg.json,900.9190216064453,202.99981689453125,1201.9923553466797,447.52093505859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00041.jpeg.json,1088.6545867919922,439.97361755371094,1385.712661743164,628.7638092041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00042.jpeg.json,853.5806884765625,154.9052276611328,1149.6818237304688,380.9619598388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00043.jpeg.json,847.8236083984375,119.17566680908203,1143.7179565429688,340.78466033935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00044.jpeg.json,844.3980102539062,136.8932342529297,1124.3486328125,371.1149444580078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00045.jpeg.json,837.835693359375,154.80838012695312,1083.6341552734375,386.2173156738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00046.jpeg.json,806.8293304443359,218.50119018554688,1022.2710113525391,430.3613586425781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00047.jpeg.json,811.5133972167969,218.48677825927734,1037.5791320800781,422.9124526977539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00048.jpeg.json,885.9753265380859,179.73699951171875,1148.3581085205078,376.0574951171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00049.jpeg.json,987.4672164916992,148.5815887451172,1240.8672561645508,324.8821563720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00050.jpeg.json,952.4175567626953,124.54735565185547,1233.7859954833984,299.1342239379883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00051.jpeg.json,979.8130569458008,162.38018035888672,1227.0435104370117,338.07788848876953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00052.jpeg.json,1017.4343719482422,186.2567596435547,1237.760269165039,392.29017639160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00053.jpeg.json,961.0212097167969,152.7854461669922,1235.5257263183594,340.6641387939453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00054.jpeg.json,902.386474609375,145.77803802490234,1176.2514038085938,336.13541412353516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00055.jpeg.json,871.574462890625,149.06340789794922,1153.1370239257812,359.3152542114258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00056.jpeg.json,882.6320953369141,123.56880187988281,1164.3267669677734,333.2162322998047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00057.jpeg.json,796.5076751708984,212.84771728515625,1063.953628540039,440.07476806640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00058.jpeg.json,784.2092056274414,168.0412368774414,1031.8625106811523,398.9526596069336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00059.jpeg.json,802.5232543945312,153.10049438476562,1048.0562744140625,383.2072448730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00060.jpeg.json,828.6069183349609,246.35295867919922,1058.9393463134766,482.42603302001953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00061.jpeg.json,848.1394119262695,264.93831634521484,1078.924186706543,503.56314849853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00062.jpeg.json,1037.1775970458984,465.86136627197266,1302.9142608642578,693.9154281616211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00063.jpeg.json,1036.0267791748047,452.46288299560547,1306.452896118164,678.584114074707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00064.jpeg.json,1040.6493225097656,447.8306427001953,1308.5928649902344,678.5538787841797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00065.jpeg.json,1008.6683502197266,444.46844482421875,1272.892807006836,673.02001953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00066.jpeg.json,1048.8589477539062,443.56375885009766,1309.4052734375,654.8502426147461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00067.jpeg.json,1017.8013229370117,464.7122268676758,1257.8242263793945,716.052604675293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00068.jpeg.json,1020.2100372314453,446.2750778198242,1280.3865814208984,657.9893264770508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00069.jpeg.json,1023.233268737793,467.6690979003906,1272.8406448364258,690.0057678222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00070.jpeg.json,1021.1098175048828,462.75648498535156,1270.6592864990234,684.4623870849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00071.jpeg.json,1035.3706588745117,462.6394805908203,1265.353889465332,689.8680877685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00072.jpeg.json,1021.4985427856445,486.3766326904297,1240.252311706543,703.7892608642578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00073.jpeg.json,1034.419578552246,457.12732696533203,1233.5110244750977,675.5432052612305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00074.jpeg.json,1041.1609497070312,455.0664520263672,1280.9984741210938,664.8269805908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00075.jpeg.json,1024.8964004516602,461.51551055908203,1245.4508895874023,696.2639694213867
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00076.jpeg.json,1018.2366485595703,453.1499481201172,1254.3241424560547,667.6351470947266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00077.jpeg.json,1030.7001647949219,456.75745391845703,1258.3960266113281,661.7413864135742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00078.jpeg.json,1050.7938385009766,451.00389099121094,1270.0588836669922,659.9511871337891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00079.jpeg.json,1021.4960098266602,451.9708480834961,1242.602928161621,676.9979629516602
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00080.jpeg.json,1017.226318359375,480.8696746826172,1262.7919921875,696.0515899658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00081.jpeg.json,1024.7074737548828,452.5205383300781,1290.249496459961,661.8334655761719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00082.jpeg.json,1010.2365875244141,497.7256317138672,1239.3666229248047,752.6844635009766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00083.jpeg.json,1018.1482315063477,505.9271926879883,1236.2130966186523,735.2038497924805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00084.jpeg.json,1030.816177368164,460.7925796508789,1231.0785369873047,668.5201034545898
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00085.jpeg.json,1029.3053741455078,456.40628814697266,1241.7816619873047,647.4947738647461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00086.jpeg.json,1026.9142990112305,449.9666748046875,1242.7055740356445,655.0294799804688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00087.jpeg.json,1032.9439239501953,467.73990631103516,1259.8746185302734,713.0877914428711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00088.jpeg.json,1043.3297729492188,584.543830871582,1267.7496948242188,829.652702331543
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00089.jpeg.json,1031.5894241333008,604.2436447143555,1219.0336837768555,851.1818923950195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00090.jpeg.json,1017.4729614257812,602.4066772460938,1233.08984375,814.7763671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00091.jpeg.json,1019.3358764648438,495.2333297729492,1227.5660400390625,691.7736892700195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00092.jpeg.json,1079.1536560058594,456.3310241699219,1322.5682067871094,618.4830017089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00093.jpeg.json,1055.739730834961,442.85604095458984,1321.7722930908203,616.4651870727539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00094.jpeg.json,1093.3316955566406,463.35420989990234,1399.1319885253906,624.5082168579102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00095.jpeg.json,1090.124282836914,463.4293212890625,1418.5845794677734,632.0601806640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00096.jpeg.json,1087.7897033691406,458.59246826171875,1422.1197204589844,631.8885498046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00097.jpeg.json,1097.0,453.0,1413.0,648.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00098.jpeg.json,979.0,441.0,1405.0,697.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00099.jpeg.json,977.3301391601562,437.89928436279297,1400.5325317382812,691.480842590332
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00100.jpeg.json,974.0,440.0,1370.0,705.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00101.jpeg.json,968.0,430.0,1389.0,722.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00102.jpeg.json,962.0,416.0,1403.0,755.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00103.jpeg.json,975.1849060058594,401.0352478027344,1385.9813537597656,769.4510803222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00104.jpeg.json,966.0,403.0,1395.0,750.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00105.jpeg.json,957.0,395.0,1401.0,754.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00106.jpeg.json,959.0,394.0,1389.0,745.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00107.jpeg.json,938.4600677490234,392.49839782714844,1379.042984008789,751.8311920166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00108.jpeg.json,915.0,399.0,1390.0,770.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00109.jpeg.json,895.0,406.0,1390.0,787.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00110.jpeg.json,887.0,412.0,1370.0,783.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00111.jpeg.json,899.7186126708984,404.6595153808594,1356.1844635009766,780.7698059082031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00112.jpeg.json,874.0,410.0,1358.0,804.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00113.jpeg.json,872.0,417.0,1364.0,789.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00114.jpeg.json,876.0,419.0,1349.0,813.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00115.jpeg.json,872.8190460205078,414.0390625,1348.3859100341797,806.1436767578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00116.jpeg.json,860.0,416.0,1352.0,806.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00117.jpeg.json,857.0,413.0,1345.0,819.0
