ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00001.jpeg.json,1073.9009094238281,774.212776184082,1673.1449279785156,968.5266036987305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00002.jpeg.json,1050.5661315917969,636.9757843017578,1613.7491149902344,928.7926483154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00003.jpeg.json,1070.0597229003906,744.8470764160156,1681.5786437988281,974.2935485839844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00004.jpeg.json,1061.4988098144531,724.6345291137695,1663.7362365722656,954.8561935424805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00005.jpeg.json,1064.469482421875,720.4415893554688,1672.6781616210938,961.7272338867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00006.jpeg.json,1073.0386962890625,737.2399597167969,1667.3010864257812,964.2565002441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00007.jpeg.json,1069.8779296875,731.8788909912109,1665.8936157226562,970.1204986572266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00008.jpeg.json,1071.0871276855469,817.3103332519531,1675.4367370605469,981.9849548339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00009.jpeg.json,1044.4538879394531,812.9686737060547,1671.6875305175781,983.2232208251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00010.jpeg.json,1065.2027587890625,673.7224578857422,1706.0574340820312,946.7936553955078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00011.jpeg.json,1057.3526000976562,581.0923004150391,1701.52392578125,913.4174652099609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00012.jpeg.json,1059.0645751953125,632.0897521972656,1654.4810180664062,937.0237731933594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00013.jpeg.json,1061.1518859863281,731.8608016967773,1658.3015441894531,966.6948623657227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00014.jpeg.json,1085.1659545898438,735.3515090942383,1684.3739013671875,965.0407028198242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00015.jpeg.json,1062.4771118164062,790.5799942016602,1673.9075927734375,979.7567977905273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00016.jpeg.json,1076.2653503417969,576.2420501708984,1708.5894470214844,905.8454742431641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00017.jpeg.json,1067.4749450683594,429.2864227294922,1599.5002136230469,768.7697296142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00018.jpeg.json,1064.9013977050781,573.734375,1708.3959045410156,902.913818359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00019.jpeg.json,1061.0602722167969,565.4055480957031,1664.0276794433594,904.8582458496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00020.jpeg.json,1064.9773559570312,564.1550750732422,1623.1549072265625,916.5482940673828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00021.jpeg.json,1055.9452514648438,463.20068359375,1579.28125,812.8115234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00022.jpeg.json,1060.718505859375,585.7892608642578,1699.1154174804688,875.1896209716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00023.jpeg.json,1067.3353576660156,570.20947265625,1650.6217346191406,917.562744140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00024.jpeg.json,1070.3753051757812,653.1667938232422,1670.1064453125,936.9905548095703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00025.jpeg.json,1063.9900207519531,597.653076171875,1708.8435363769531,934.3133544921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00026.jpeg.json,1071.6260070800781,562.1306762695312,1740.6101379394531,854.6223754882812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00027.jpeg.json,1062.6663513183594,660.3036193847656,1689.5935974121094,942.2776794433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00028.jpeg.json,1057.3241577148438,630.027099609375,1692.500732421875,939.83837890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00029.jpeg.json,1065.7383422851562,635.2593688964844,1699.49560546875,923.0058898925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00030.jpeg.json,1060.7889709472656,593.4763336181641,1704.5003967285156,929.2309417724609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00031.jpeg.json,1053.765380859375,651.7841033935547,1642.0554809570312,935.4186553955078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00032.jpeg.json,1057.1333312988281,580.8983612060547,1545.8760070800781,913.3942413330078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00033.jpeg.json,1071.56787109375,673.943603515625,1625.3666381835938,945.72705078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00034.jpeg.json,1067.5547180175781,611.3752288818359,1642.1180725097656,897.6181793212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00035.jpeg.json,1064.4054565429688,600.6074676513672,1640.582275390625,913.5684356689453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__33-andar-agachado/ann/00036.jpeg.json,1061.0848999023438,670.0952758789062,1671.0362548828125,937.3060913085938
