ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00001.jpeg.json,532.4939727783203,7.3018798828125,688.4899139404297,271.51220703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00002.jpeg.json,533.1668243408203,7.761566162109375,687.8005218505859,272.3180236816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00003.jpeg.json,532.2954406738281,7.7195587158203125,688.1523742675781,270.27818298339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00004.jpeg.json,533.9538955688477,6.7644195556640625,687.4063949584961,272.3502655029297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00005.jpeg.json,533.2603912353516,8.7393798828125,687.7316131591797,272.51458740234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00006.jpeg.json,532.9434967041016,7.645355224609375,688.3036346435547,271.3378601074219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00007.jpeg.json,532.6657867431641,7.9115753173828125,688.4609832763672,270.69712829589844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00008.jpeg.json,532.7298889160156,8.513351440429688,688.1822204589844,271.7530059814453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00009.jpeg.json,532.5715560913086,8.445632934570312,688.1927871704102,271.2118377685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00010.jpeg.json,531.8695755004883,8.6219482421875,688.661979675293,270.5936279296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00011.jpeg.json,532.9233245849609,8.492782592773438,688.3590850830078,271.21205139160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00012.jpeg.json,532.5685119628906,7.5536956787109375,688.7412414550781,271.0752716064453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00013.jpeg.json,532.4374465942383,7.7064208984375,688.3809127807617,271.92901611328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00014.jpeg.json,532.4254302978516,8.603012084960938,688.2696990966797,271.87562561035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00015.jpeg.json,532.6436080932617,8.231033325195312,688.2075271606445,271.4822235107422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00016.jpeg.json,532.5705184936523,8.075332641601562,688.5621719360352,270.9155731201172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00017.jpeg.json,533.0,10.0,690.0,269.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00018.jpeg.json,533.0,11.0,691.0,268.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00019.jpeg.json,533.0168609619141,8.558181762695312,688.8199920654297,270.2781219482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__36-teste-com-cachorro/ann/00020.jpeg.json,532.9512023925781,8.28106689453125,688.9569396972656,270.994384765625
