ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00001.jpeg.json,1192.562858581543,134.77378845214844,1346.8152542114258,292.80494689941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00002.jpeg.json,1188.686637878418,134.96822357177734,1339.0905227661133,301.90677642822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00003.jpeg.json,1207.663673400879,133.4235382080078,1355.3232040405273,292.6051483154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00004.jpeg.json,1202.1457977294922,124.08094024658203,1347.5968780517578,295.3496627807617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00005.jpeg.json,1202.9140167236328,124.32633209228516,1360.8060760498047,296.6900863647461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00006.jpeg.json,1202.6811981201172,126.38106536865234,1358.1024322509766,295.80838775634766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00007.jpeg.json,1194.6212615966797,127.19829559326172,1363.4580841064453,293.88123321533203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00008.jpeg.json,1206.7032165527344,129.1956558227539,1376.8146057128906,293.5025863647461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00009.jpeg.json,1191.5866317749023,126.18140411376953,1358.8359756469727,292.3037643432617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00010.jpeg.json,1192.096923828125,127.5058822631836,1349.375732421875,306.4183120727539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00011.jpeg.json,1202.7817764282227,129.6114959716797,1365.0959701538086,294.2840118408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00012.jpeg.json,1198.1583404541016,130.1275863647461,1353.1622772216797,292.36478424072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00013.jpeg.json,1196.6659545898438,129.7100601196289,1349.6892700195312,298.0490951538086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00014.jpeg.json,1200.6688766479492,137.0881118774414,1349.5974807739258,294.9275131225586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00015.jpeg.json,1198.301155090332,132.86165618896484,1347.1049728393555,293.48075103759766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00016.jpeg.json,1198.7221374511719,132.92713928222656,1351.0974426269531,296.0963592529297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00017.jpeg.json,1199.6341857910156,137.10433197021484,1348.5547180175781,297.20719146728516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00018.jpeg.json,1196.8085861206055,132.8930206298828,1356.015998840332,297.01475524902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00019.jpeg.json,1196.7938537597656,125.53704071044922,1353.0748596191406,300.95117950439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00020.jpeg.json,1204.6777648925781,127.61808013916016,1358.0333557128906,295.2929916381836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00021.jpeg.json,1200.414779663086,136.61739349365234,1352.458755493164,300.99454498291016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00022.jpeg.json,1193.5241088867188,146.3491439819336,1349.7618408203125,295.0933609008789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00023.jpeg.json,1188.8391571044922,136.8764190673828,1346.651382446289,291.2535858154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00024.jpeg.json,1186.534194946289,136.6722869873047,1349.5792083740234,294.97389221191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00025.jpeg.json,1189.922737121582,131.0810546875,1350.6360397338867,297.2642822265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00026.jpeg.json,1204.3060455322266,124.84091186523438,1347.774154663086,292.0310974121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00027.jpeg.json,1195.6930236816406,127.49921417236328,1360.0400085449219,296.3037643432617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00028.jpeg.json,1200.9914093017578,128.35801696777344,1387.9051361083984,293.7249298095703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00029.jpeg.json,1197.8252258300781,125.99566650390625,1370.2763977050781,297.39898681640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00030.jpeg.json,1203.3682403564453,126.31969451904297,1372.3658294677734,292.52918243408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00031.jpeg.json,1196.8798065185547,129.91671752929688,1366.5377960205078,299.6638488769531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00032.jpeg.json,1201.946060180664,127.6280288696289,1366.3287811279297,294.2397689819336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00033.jpeg.json,1196.718879699707,125.61682891845703,1354.1894454956055,298.22801971435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00034.jpeg.json,1201.6616134643555,125.64308166503906,1370.661994934082,293.73582458496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00035.jpeg.json,1196.4353485107422,126.83110809326172,1367.899185180664,303.3351516723633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00036.jpeg.json,1205.048599243164,122.06147003173828,1372.787582397461,293.2035446166992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00037.jpeg.json,1202.0536499023438,128.96139526367188,1384.176025390625,292.8182067871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00038.jpeg.json,1200.4981155395508,126.7778549194336,1373.4941940307617,296.96707916259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00039.jpeg.json,1203.9102096557617,124.31581115722656,1359.4765701293945,294.2588348388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00040.jpeg.json,1200.9045181274414,126.3404312133789,1356.3669052124023,299.16524505615234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00041.jpeg.json,1202.2724990844727,126.37354278564453,1355.0501327514648,296.1138229370117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00042.jpeg.json,1203.225944519043,125.67857360839844,1357.4425735473633,294.47377014160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00043.jpeg.json,1200.1717147827148,125.84698486328125,1356.850929260254,292.87115478515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00044.jpeg.json,1196.6050262451172,125.21012878417969,1356.792495727539,300.2885284423828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00045.jpeg.json,1201.6666564941406,131.55625915527344,1367.8897399902344,294.3727569580078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00046.jpeg.json,1200.9946670532227,133.8622817993164,1387.224021911621,295.85091400146484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00047.jpeg.json,1205.3458404541016,128.2124786376953,1382.5240325927734,297.9622039794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00048.jpeg.json,1201.6739120483398,134.1893768310547,1397.7130508422852,294.89320373535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00049.jpeg.json,1205.4463272094727,130.74909210205078,1382.054832458496,296.5773239135742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00050.jpeg.json,1194.5274047851562,125.81318664550781,1352.5252075195312,296.1643524169922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00051.jpeg.json,1203.7644119262695,133.69071197509766,1361.5759811401367,296.30965423583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00052.jpeg.json,1198.6735763549805,130.41851806640625,1351.5004959106445,299.3406982421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00053.jpeg.json,1202.1561279296875,132.47067260742188,1351.9654541015625,293.2906799316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00054.jpeg.json,1189.764045715332,135.88917541503906,1353.0118942260742,296.29100036621094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00055.jpeg.json,1186.476188659668,135.82512664794922,1341.6809158325195,299.8510208129883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00056.jpeg.json,1205.6860733032227,137.54352569580078,1352.622215270996,293.2522506713867
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00057.jpeg.json,1203.4259948730469,127.07781219482422,1348.2227478027344,293.30554962158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00058.jpeg.json,1199.8307800292969,135.84510803222656,1351.4783630371094,295.6342010498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00059.jpeg.json,1203.3081130981445,137.68151092529297,1344.9443893432617,295.40357208251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00060.jpeg.json,1202.3977279663086,128.3518829345703,1348.3940200805664,294.77000427246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00061.jpeg.json,1203.9169616699219,124.71942138671875,1349.4223937988281,298.4964599609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00062.jpeg.json,1201.112533569336,128.71614837646484,1358.9759674072266,294.9238052368164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00063.jpeg.json,1205.8023834228516,125.42247772216797,1370.330795288086,293.49268341064453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00064.jpeg.json,1195.202003479004,138.77848052978516,1355.468650817871,302.74068450927734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00065.jpeg.json,1195.519432067871,132.39545440673828,1349.9236221313477,302.45848846435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00066.jpeg.json,1204.6109161376953,130.8351593017578,1353.045883178711,295.4745330810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00067.jpeg.json,1199.9762268066406,123.81432342529297,1346.3927307128906,301.81909942626953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00068.jpeg.json,1203.2786407470703,124.98777770996094,1360.7564544677734,295.23158264160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00069.jpeg.json,1199.2973327636719,126.65008544921875,1355.1347351074219,295.3062744140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00070.jpeg.json,1202.8004150390625,128.9002227783203,1374.2035522460938,296.77488708496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00071.jpeg.json,1196.7313842773438,126.53074645996094,1352.7554321289062,298.01686096191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__7-andando-com-anda-ja/ann/00072.jpeg.json,1204.4785690307617,126.30426025390625,1355.8091506958008,293.04150390625
