ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00001.jpeg.json,101.17134857177734,429.68893814086914,199.9617691040039,520.174861907959
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00002.jpeg.json,101.0,428.0,201.0,521.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00003.jpeg.json,101.09401321411133,429.82825469970703,200.0571403503418,520.0190963745117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00004.jpeg.json,94.0,428.0,201.0,520.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00005.jpeg.json,94.0,428.0,201.0,519.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00006.jpeg.json,102.0,425.0,201.0,521.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00007.jpeg.json,102.92603302001953,426.37065505981445,200.25496673583984,519.2729911804199
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00008.jpeg.json,102.0,416.0,201.0,522.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00009.jpeg.json,103.39700317382812,415.7998237609863,200.9259033203125,520.6107597351074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00010.jpeg.json,103.82748794555664,416.06903076171875,201.11333847045898,520.715087890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00011.jpeg.json,103.97204971313477,415.9806137084961,201.03176498413086,520.338508605957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00012.jpeg.json,103.44291687011719,415.9104652404785,201.01734924316406,520.312313079834
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00013.jpeg.json,103.57575607299805,415.84529876708984,200.71025466918945,519.8239212036133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00014.jpeg.json,103.96268844604492,415.7050247192383,201.05000686645508,520.1827926635742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00015.jpeg.json,103.92398834228516,416.2076110839844,200.9549789428711,520.4096984863281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00016.jpeg.json,104.42328262329102,416.2646675109863,201.39416122436523,520.7218742370605
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00017.jpeg.json,103.99133682250977,416.32762908935547,201.40258407592773,520.9017105102539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00018.jpeg.json,104.24357986450195,416.3650245666504,201.45341110229492,520.5659446716309
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00019.jpeg.json,103.76460266113281,416.31512451171875,201.3084259033203,520.6846313476562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00020.jpeg.json,104.22366333007812,416.1673393249512,201.29788208007812,520.4686164855957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__1-andando-normalmente/ann/00021.jpeg.json,103.60149383544922,416.2871551513672,201.33979034423828,520.4562225341797
