ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00001.jpeg.json,742.4000854492188,179.09019470214844,998.5687561035156,596.2179107666016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00002.jpeg.json,742.8429336547852,175.45263671875,975.5660934448242,581.4310302734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00003.jpeg.json,724.3520355224609,173.6642608642578,998.5960540771484,575.3245086669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00004.jpeg.json,732.1565551757812,168.60113525390625,1001.4432678222656,585.0010375976562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00005.jpeg.json,735.830207824707,169.2643280029297,991.3937606811523,589.9761505126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00006.jpeg.json,727.3969268798828,176.38043212890625,1008.5643463134766,580.2994995117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00007.jpeg.json,727.5233764648438,166.0304412841797,1013.0484924316406,591.9068145751953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00008.jpeg.json,728.8806304931641,172.3102569580078,988.2548370361328,588.8948211669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00009.jpeg.json,732.3286666870117,164.03855895996094,983.7633438110352,574.6620025634766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00010.jpeg.json,735.2398986816406,171.7418670654297,996.3875122070312,585.6339874267578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00011.jpeg.json,728.2791595458984,169.36277770996094,988.9440765380859,588.1275787353516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00012.jpeg.json,734.1622467041016,170.06619262695312,987.1366729736328,583.6718444824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00013.jpeg.json,740.8522644042969,174.96487426757812,991.162353515625,583.8293151855469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00014.jpeg.json,730.5934906005859,173.71636962890625,995.8730316162109,583.5065307617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00015.jpeg.json,741.9356307983398,174.0359344482422,991.192512512207,587.9403839111328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00016.jpeg.json,748.9752426147461,178.95057678222656,983.0720901489258,579.6608734130859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00017.jpeg.json,735.0004577636719,169.026123046875,1002.5380859375,578.0919189453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00018.jpeg.json,749.1666717529297,171.2234344482422,992.9590301513672,592.9058380126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00019.jpeg.json,743.4868469238281,180.79562377929688,1012.6426391601562,585.7773742675781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00020.jpeg.json,733.1053314208984,169.4800567626953,1005.7167816162109,581.6254119873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00021.jpeg.json,733.6715545654297,175.38763427734375,995.9916229248047,585.6408081054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00022.jpeg.json,740.6291198730469,170.57199096679688,996.9439697265625,589.2518615722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00023.jpeg.json,742.3033294677734,177.2144775390625,1015.1578216552734,590.5220947265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00024.jpeg.json,722.2119903564453,178.6283721923828,1000.4227447509766,593.4808807373047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00025.jpeg.json,731.5900573730469,182.5206298828125,997.693359375,594.5318603515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00026.jpeg.json,727.9468383789062,166.81683349609375,996.8535461425781,575.6580200195312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00027.jpeg.json,730.7334136962891,177.50465393066406,1013.4351348876953,594.4494476318359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00028.jpeg.json,727.1606903076172,168.04833984375,999.0588836669922,594.3660888671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00029.jpeg.json,744.0364074707031,164.7694549560547,994.2446899414062,595.5412139892578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00030.jpeg.json,751.2920150756836,171.11865234375,1004.1248245239258,596.5955810546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00031.jpeg.json,748.5475616455078,178.27622985839844,1006.6446685791016,592.7420806884766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00032.jpeg.json,713.3372497558594,180.5564727783203,992.2882080078125,575.9913787841797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00033.jpeg.json,709.7736511230469,183.3525390625,999.58984375,594.260009765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00034.jpeg.json,729.2218627929688,173.3213653564453,999.0475158691406,591.7814178466797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00035.jpeg.json,729.41259765625,168.27268981933594,1005.7112731933594,584.3460845947266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__12-cair-no-escuro/ann/00036.jpeg.json,734.7780609130859,170.47850036621094,997.7087249755859,589.5500640869141
