ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00001.jpeg.json,1380.6839962005615,785.6749114990234,1429.9846897125244,990.9257507324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00002.jpeg.json,1375.5124473571777,798.0060729980469,1424.8416023254395,987.6361541748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00003.jpeg.json,1371.8625717163086,851.9854125976562,1415.7177047729492,992.5137176513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00004.jpeg.json,1366.8802890777588,880.8878517150879,1410.7125301361084,1007.3151054382324
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00005.jpeg.json,1366.4391765594482,882.0049819946289,1410.9311389923096,1012.0588150024414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00006.jpeg.json,1361.4386310577393,891.2487487792969,1406.3935680389404,1028.293472290039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00007.jpeg.json,1363.1487636566162,895.5006637573242,1402.2677249908447,1038.5957260131836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00008.jpeg.json,1355.552583694458,893.7466812133789,1403.4011974334717,1044.208625793457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00009.jpeg.json,1354.5899410247803,902.6819610595703,1400.7222385406494,1054.8084716796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00010.jpeg.json,1351.3483066558838,903.8813629150391,1398.6312618255615,1064.6902160644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00011.jpeg.json,1348.1353302001953,917.5685043334961,1396.8613891601562,1064.405632019043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00012.jpeg.json,1345.1961116790771,920.6115112304688,1396.4504795074463,1068.3314361572266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00013.jpeg.json,1343.5017623901367,924.9716720581055,1395.160545349121,1065.0366744995117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00014.jpeg.json,1341.1183891296387,933.8945999145508,1394.0054054260254,1076.8132400512695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00015.jpeg.json,1341.7176628112793,930.4524917602539,1394.158603668213,1068.8231582641602
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00016.jpeg.json,1337.7333164215088,937.0516662597656,1392.5361995697021,1076.2078094482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00017.jpeg.json,1336.4141254425049,939.6415481567383,1392.8587169647217,1073.6943130493164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00018.jpeg.json,1335.2981338500977,942.2983703613281,1391.5753860473633,1075.2173919677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__2-desmaiando/ann/00019.jpeg.json,1334.4518852233887,945.9380569458008,1391.9295387268066,1074.5263748168945
