ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00001.jpeg.json,1242.2437362670898,232.68951416015625,1468.8873672485352,1031.4622192382812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00002.jpeg.json,1266.1337203979492,222.14389038085938,1464.1458206176758,1045.9454650878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00003.jpeg.json,1249.9524230957031,240.77297973632812,1461.8583679199219,1038.3433532714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00004.jpeg.json,1256.938377380371,238.26104736328125,1461.667091369629,1050.9878540039062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00005.jpeg.json,1240.871826171875,243.38198852539062,1463.746337890625,1040.6441345214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00006.jpeg.json,1263.2974853515625,245.7640380859375,1465.8536376953125,1041.0567626953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00007.jpeg.json,1252.5778274536133,233.3717041015625,1459.8805465698242,1041.8646240234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00008.jpeg.json,1249.8928451538086,243.78082275390625,1457.095069885254,1045.3462524414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00009.jpeg.json,1260.1583557128906,247.061279296875,1460.0907897949219,1049.31494140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00010.jpeg.json,1251.6321487426758,241.20474243164062,1462.5624313354492,1030.0320739746094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00011.jpeg.json,1246.2416152954102,238.02688598632812,1462.8489608764648,1037.7395935058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00012.jpeg.json,1253.1886367797852,241.49502563476562,1463.0509872436523,1033.6088562011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00013.jpeg.json,1242.538948059082,236.10986328125,1459.603385925293,1033.0145263671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00014.jpeg.json,1260.3509979248047,226.79959106445312,1461.9647979736328,1046.8671569824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00015.jpeg.json,1251.7697448730469,234.89849853515625,1456.6495666503906,1044.7429809570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00016.jpeg.json,1255.6237258911133,242.82733154296875,1461.2510299682617,1050.2178344726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00017.jpeg.json,1249.1952362060547,250.59561157226562,1463.4922637939453,1044.9198913574219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00018.jpeg.json,1236.5204544067383,241.867431640625,1467.2970504760742,1025.76513671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00019.jpeg.json,1257.5327682495117,229.04733276367188,1464.1779251098633,1044.6235656738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00020.jpeg.json,1254.384994506836,233.55770874023438,1461.028091430664,1034.1419982910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00021.jpeg.json,1254.1813049316406,240.27603149414062,1463.5796813964844,1039.9490661621094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00022.jpeg.json,1245.9791946411133,257.0667419433594,1460.3844528198242,1041.2184143066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00023.jpeg.json,1250.618148803711,239.86199951171875,1463.3358306884766,1047.9597778320312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00024.jpeg.json,1239.0272521972656,250.1768798828125,1458.7662048339844,1036.78076171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00025.jpeg.json,1264.6680374145508,237.207275390625,1461.8770065307617,1044.9637451171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00026.jpeg.json,1245.7162017822266,242.95626831054688,1461.099838256836,1042.8896789550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00027.jpeg.json,1248.1676483154297,240.64883422851562,1458.7127227783203,1040.2593688964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00028.jpeg.json,1254.9224548339844,233.14834594726562,1463.7326965332031,1039.3351745605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00029.jpeg.json,1251.2098999023438,244.50827026367188,1462.0056762695312,1047.4385070800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00030.jpeg.json,1245.4334716796875,249.44793701171875,1458.924560546875,1047.3822631835938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00031.jpeg.json,1262.6936264038086,236.85641479492188,1466.0805435180664,1051.5287170410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00032.jpeg.json,1248.6410751342773,233.066162109375,1455.3845596313477,1049.89013671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00033.jpeg.json,1241.2354736328125,243.04150390625,1460.4981689453125,1035.854736328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00034.jpeg.json,1245.809959411621,231.87738037109375,1458.7255630493164,1040.8306274414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00035.jpeg.json,1259.6776962280273,238.83892822265625,1460.3041152954102,1049.1817016601562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00036.jpeg.json,1257.3094329833984,236.42623901367188,1459.6620025634766,1049.7788391113281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00037.jpeg.json,1248.9650039672852,244.00973510742188,1466.9051132202148,1043.1123352050781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00038.jpeg.json,1247.9227752685547,228.26394653320312,1457.9022979736328,1039.5354919433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00039.jpeg.json,1257.5127410888672,244.33624267578125,1461.2080841064453,1045.2399291992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00040.jpeg.json,1241.4252243041992,241.66192626953125,1453.6582717895508,1040.7271118164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00041.jpeg.json,1254.0074768066406,236.73748779296875,1464.7619323730469,1042.7908325195312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00042.jpeg.json,1243.0386428833008,234.57131958007812,1458.9098434448242,1034.5074157714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00043.jpeg.json,1256.4693145751953,229.11810302734375,1462.7355194091797,1048.7846069335938
