ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00001.jpeg.json,775.6042251586914,626.5261993408203,1043.9406814575195,893.7847137451172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00002.jpeg.json,774.7496566772461,625.4060821533203,1038.4873886108398,895.2861785888672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00003.jpeg.json,775.2276077270508,626.8426361083984,1049.1222305297852,895.2927398681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00004.jpeg.json,772.9328231811523,628.4134674072266,1042.5090560913086,896.8912200927734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00005.jpeg.json,775.5697402954102,625.1343383789062,1042.5398635864258,895.6432495117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00006.jpeg.json,774.9251174926758,629.5827941894531,1050.3270645141602,896.6205749511719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00007.jpeg.json,771.490364074707,626.1984558105469,1040.9020767211914,894.9878234863281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00008.jpeg.json,772.6860122680664,627.0207214355469,1045.752815246582,894.7405090332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00009.jpeg.json,771.306999206543,628.0027008056641,1038.5771408081055,896.2906341552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00010.jpeg.json,773.8215560913086,627.1438293457031,1034.1001815795898,896.5549011230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00011.jpeg.json,772.3224563598633,627.3000640869141,1044.1229629516602,893.0616302490234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00012.jpeg.json,773.3689651489258,625.8870697021484,1038.8953018188477,895.8211822509766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00013.jpeg.json,771.7412796020508,626.5541229248047,1043.1706924438477,894.7799835205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00014.jpeg.json,774.953727722168,627.0886383056641,1035.0756759643555,895.6102142333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00015.jpeg.json,775.4346084594727,632.8968048095703,1045.6349563598633,899.9420623779297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00016.jpeg.json,771.5257949829102,627.8985748291016,1028.4940872192383,896.1736907958984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00017.jpeg.json,774.5721664428711,629.8587188720703,1031.6103134155273,898.7740936279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00018.jpeg.json,776.3509902954102,631.5355682373047,1032.8816604614258,898.8086700439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00019.jpeg.json,773.3532943725586,628.0477600097656,1038.3354110717773,897.1037292480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00020.jpeg.json,771.7606735229492,624.5353546142578,1037.9249801635742,895.1050262451172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00021.jpeg.json,776.4130020141602,633.8278961181641,1041.3360061645508,897.9836273193359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00022.jpeg.json,775.2563858032227,625.5536499023438,1034.9802932739258,895.8512573242188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00023.jpeg.json,774.4963912963867,628.5342559814453,1040.2064743041992,899.2092742919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00024.jpeg.json,775.5768051147461,627.49072265625,1046.3850936889648,897.19287109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00025.jpeg.json,773.6659622192383,628.7326812744141,1043.3657608032227,897.3138275146484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00026.jpeg.json,773.0225143432617,628.7796325683594,1033.5313034057617,898.7124328613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00027.jpeg.json,774.746208190918,630.4736022949219,1034.5776290893555,898.5791320800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00028.jpeg.json,776.6962203979492,626.8247528076172,1032.9603805541992,896.6225128173828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00029.jpeg.json,773.3856430053711,627.8473052978516,1042.4121932983398,896.0292816162109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00030.jpeg.json,772.4942855834961,626.3278503417969,1040.6748886108398,896.1434631347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00031.jpeg.json,775.5454635620117,626.5201721191406,1033.5986862182617,896.8477478027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00032.jpeg.json,777.0900955200195,628.5995330810547,1050.219337463379,898.2255401611328
