ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00001.jpeg.json,99.0,384.0,200.0,531.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00002.jpeg.json,99.0,384.0,200.0,531.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00003.jpeg.json,99.0,386.0,200.0,531.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00004.jpeg.json,107.0,425.0,198.0,524.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00005.jpeg.json,107.0,425.0,198.0,524.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00006.jpeg.json,104.12156677246094,428.3242378234863,200.34962463378906,519.4629325866699
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00007.jpeg.json,97.0,428.0,202.0,523.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00008.jpeg.json,99.56310272216797,426.07574462890625,198.92862701416016,525.8131408691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00009.jpeg.json,99.75359344482422,426.1006202697754,198.56497955322266,526.1881980895996
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00010.jpeg.json,99.04676055908203,425.5582084655762,198.7757797241211,525.747241973877
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00011.jpeg.json,99.72777557373047,425.86198806762695,198.65897369384766,526.4244194030762
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00012.jpeg.json,99.8333740234375,425.87562561035156,198.79452514648438,526.3874664306641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00013.jpeg.json,99.96968078613281,426.00025177001953,198.93800354003906,526.3610153198242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00014.jpeg.json,100.20943832397461,425.97522735595703,198.9931983947754,526.6503219604492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00015.jpeg.json,99.41010665893555,426.30844497680664,198.5471076965332,526.0934410095215
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00016.jpeg.json,100.04008102416992,425.76836013793945,198.75716018676758,526.3028373718262
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00017.jpeg.json,100.13251876831055,425.903995513916,198.96367263793945,526.5495872497559
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00018.jpeg.json,99.50946807861328,426.17288970947266,198.31285858154297,526.3596115112305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00019.jpeg.json,100.1201171875,425.7643165588379,198.68704223632812,526.5612449645996
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00020.jpeg.json,100.12887573242188,426.05520248413086,198.89105224609375,526.6968727111816
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00021.jpeg.json,99.4167251586914,426.4041404724121,198.39342498779297,526.4181861877441
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00022.jpeg.json,100.02325820922852,426.1171760559082,198.43737411499023,526.6872062683105
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00023.jpeg.json,99.14426040649414,426.24365997314453,198.61779403686523,526.0779342651367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00024.jpeg.json,99.53125762939453,426.19214630126953,198.27727508544922,526.6780624389648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00025.jpeg.json,99.58253479003906,426.4197235107422,198.34437561035156,526.9809112548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00026.jpeg.json,99.37483215332031,425.85551834106445,198.4535369873047,526.4330253601074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00027.jpeg.json,100.01256561279297,425.57644271850586,198.66641998291016,526.5617408752441
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00028.jpeg.json,99.53274536132812,425.52095794677734,198.59857177734375,526.160285949707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00029.jpeg.json,99.26559829711914,426.0125923156738,198.2381248474121,526.3462333679199
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00030.jpeg.json,99.36431121826172,425.90880584716797,198.26728057861328,526.7638626098633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00031.jpeg.json,99.84323501586914,425.6516876220703,198.60137557983398,526.7692718505859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00032.jpeg.json,99.485595703125,425.5164566040039,198.43051147460938,526.2474594116211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00033.jpeg.json,100.06225967407227,425.8431587219238,198.58636093139648,527.0237846374512
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00034.jpeg.json,99.2559928894043,425.9333686828613,198.61232376098633,526.3016777038574
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00035.jpeg.json,99.87646102905273,424.98022079467773,198.03561782836914,526.1572303771973
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00036.jpeg.json,99.51091003417969,425.3423614501953,197.7329559326172,526.1481170654297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00037.jpeg.json,99.16823959350586,425.35448837280273,197.42401504516602,526.3417091369629
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00038.jpeg.json,99.57553100585938,425.23136138916016,197.10467529296875,526.7296676635742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00039.jpeg.json,99.5368423461914,425.49686431884766,197.0772933959961,526.8390121459961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00040.jpeg.json,99.32403564453125,425.1094093322754,197.19415283203125,526.3913841247559
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00041.jpeg.json,99.46706008911133,425.31666564941406,197.17332077026367,526.6256256103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00042.jpeg.json,99.53561782836914,425.35444259643555,197.15459823608398,526.9527778625488
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00043.jpeg.json,99.50192642211914,425.57923889160156,197.2428855895996,527.1427459716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00044.jpeg.json,99.78971481323242,425.59674072265625,197.0937385559082,527.4083862304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00045.jpeg.json,100.0,394.0,200.0,537.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00046.jpeg.json,98.47975540161133,394.7475357055664,199.99702072143555,535.9828720092773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00047.jpeg.json,97.73263168334961,394.9745788574219,200.1078224182129,535.4723510742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00048.jpeg.json,97.31099700927734,395.9402542114258,201.33081817626953,535.2195053100586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00049.jpeg.json,97.83279800415039,395.83604431152344,201.00988388061523,535.2921295166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00050.jpeg.json,98.06619644165039,395.83555603027344,201.0983543395996,535.2135162353516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00051.jpeg.json,98.36760711669922,394.8876724243164,199.9715347290039,535.3337326049805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00052.jpeg.json,248.0,591.0,322.0,662.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00053.jpeg.json,244.0,598.0,316.0,661.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00054.jpeg.json,248.0,592.0,322.0,662.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00055.jpeg.json,247.76448822021484,589.9175491333008,319.9508743286133,660.8687057495117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00056.jpeg.json,247.80191040039062,590.8141860961914,319.6656494140625,661.7938766479492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00057.jpeg.json,248.31341171264648,590.0820617675781,319.74231338500977,661.2188415527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00058.jpeg.json,244.0,596.0,322.0,660.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00059.jpeg.json,245.31846237182617,594.0071411132812,318.53679275512695,659.8590393066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00060.jpeg.json,247.0,591.0,322.0,662.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00061.jpeg.json,247.0,590.0,323.0,662.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00062.jpeg.json,247.0,590.0,322.0,661.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00063.jpeg.json,246.0,590.0,323.0,661.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00064.jpeg.json,247.64982223510742,585.3519859313965,319.59477615356445,661.1213417053223
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00065.jpeg.json,246.91079711914062,584.9760971069336,320.58984375,660.771125793457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00066.jpeg.json,101.0,393.0,199.0,535.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00067.jpeg.json,246.0,591.0,323.0,661.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00068.jpeg.json,247.83910369873047,586.3112258911133,319.65946197509766,660.6070785522461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00069.jpeg.json,246.74042129516602,587.2480850219727,320.06374740600586,661.6573715209961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00070.jpeg.json,247.45549774169922,586.4106674194336,320.45584869384766,661.0683059692383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00071.jpeg.json,247.4178581237793,586.8961563110352,320.6685371398926,661.4105758666992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00072.jpeg.json,247.28046798706055,585.743782043457,319.5822944641113,660.8291549682617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00073.jpeg.json,247.32846450805664,587.3907775878906,320.20400619506836,661.2388610839844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00074.jpeg.json,247.79775619506836,586.2899932861328,320.7457618713379,660.9448089599609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00075.jpeg.json,246.90132522583008,586.3530349731445,319.8724479675293,661.3452682495117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00076.jpeg.json,246.94710540771484,586.831184387207,320.1802749633789,661.4336471557617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00077.jpeg.json,247.67644500732422,586.0796051025391,320.58191680908203,660.7830657958984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00078.jpeg.json,246.82270050048828,586.1637153625488,319.72179412841797,661.0348320007324
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00079.jpeg.json,246.81841659545898,586.6177215576172,320.04944229125977,661.1120452880859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00080.jpeg.json,247.00968170166016,586.8724365234375,320.23558807373047,661.3578491210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00081.jpeg.json,247.6380729675293,586.1321907043457,320.6657295227051,660.3752250671387
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00082.jpeg.json,247.02679061889648,586.0650215148926,320.4897804260254,661.5033683776855
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00083.jpeg.json,247.50339889526367,586.3239364624023,320.4885444641113,661.1039199829102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00084.jpeg.json,247.67575454711914,586.2839660644531,320.87316513061523,661.276611328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00085.jpeg.json,248.0035171508789,585.3687438964844,320.55028533935547,660.7846069335938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00086.jpeg.json,247.1570816040039,585.2899284362793,319.72115325927734,660.9261665344238
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00087.jpeg.json,247.49761581420898,586.4545021057129,320.20444107055664,661.0482444763184
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00088.jpeg.json,247.6640853881836,585.6457214355469,320.25907135009766,660.9598388671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00089.jpeg.json,247.75956344604492,586.311206817627,320.6922492980957,660.9587516784668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00090.jpeg.json,247.20318984985352,586.4352340698242,319.5389976501465,661.5094680786133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00091.jpeg.json,247.8218116760254,586.5998039245605,320.541805267334,660.8545112609863
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00092.jpeg.json,246.790771484375,586.275390625,319.46240234375,661.7177124023438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00093.jpeg.json,247.30700302124023,586.5678100585938,320.3601722717285,660.8594055175781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00094.jpeg.json,247.39299392700195,586.0087547302246,319.0055046081543,661.666934967041
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00095.jpeg.json,247.45409393310547,586.0817947387695,319.55066680908203,661.4540634155273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00096.jpeg.json,246.93989944458008,585.9724311828613,319.0992546081543,661.716625213623
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00097.jpeg.json,246.63438415527344,586.8697929382324,318.9557342529297,661.9955635070801
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00098.jpeg.json,247.0052375793457,586.4742240905762,319.4251823425293,661.9537544250488
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00099.jpeg.json,246.9502182006836,586.086238861084,319.5929641723633,660.9971351623535
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00100.jpeg.json,246.75980377197266,586.4104919433594,319.1997604370117,661.6712036132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00101.jpeg.json,247.45417022705078,585.9346046447754,320.28026580810547,660.5811729431152
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00102.jpeg.json,246.3936653137207,587.030834197998,319.7766532897949,661.8774909973145
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00103.jpeg.json,247.26481246948242,586.2978668212891,320.0185127258301,661.8894195556641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00104.jpeg.json,247.17739868164062,585.998836517334,319.4314270019531,661.7947425842285
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00105.jpeg.json,247.43989944458008,585.7043380737305,320.1683158874512,661.2141189575195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00106.jpeg.json,246.4187126159668,585.8982353210449,319.9318733215332,662.2613716125488
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00107.jpeg.json,247.07681274414062,585.146785736084,319.86761474609375,660.7583045959473
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00108.jpeg.json,247.5405158996582,586.0931091308594,320.0968132019043,661.3460998535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00109.jpeg.json,247.17990112304688,586.4381675720215,320.1076965332031,661.7660865783691
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00110.jpeg.json,246.95931243896484,585.943489074707,319.5407180786133,661.4990463256836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00111.jpeg.json,247.41648864746094,585.6192932128906,320.39637756347656,660.9418029785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00112.jpeg.json,246.45530319213867,586.1155776977539,320.0250129699707,661.8681564331055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00113.jpeg.json,247.42026901245117,585.7619857788086,320.2276802062988,661.0784072875977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00114.jpeg.json,246.5183448791504,586.1025657653809,319.9432029724121,661.9113807678223
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00115.jpeg.json,247.4308090209961,585.892993927002,320.3210220336914,661.1301383972168
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00116.jpeg.json,247.31036376953125,585.1431655883789,319.8552551269531,660.9031600952148
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00117.jpeg.json,246.16947174072266,586.3943710327148,319.6637496948242,661.5250930786133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__25-queda-com-manequim/ann/00118.jpeg.json,247.65761947631836,586.4544677734375,320.146671295166,661.7690734863281
