ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00001.jpeg.json,105.0,403.0,199.0,524.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00002.jpeg.json,105.0,403.0,199.0,524.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00003.jpeg.json,105.0,400.0,199.0,524.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00004.jpeg.json,105.0,398.0,199.0,523.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00005.jpeg.json,105.0,398.0,199.0,523.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00006.jpeg.json,101.56428909301758,398.18201065063477,202.1496696472168,519.4163780212402
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00007.jpeg.json,101.84145736694336,397.6687240600586,203.58057022094727,518.958625793457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00008.jpeg.json,101.11120223999023,398.15063858032227,204.01816177368164,517.6402549743652
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00009.jpeg.json,101.46699905395508,396.9390296936035,203.05295944213867,518.3771629333496
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00010.jpeg.json,101.94013214111328,396.0879325866699,203.29317474365234,518.6749458312988
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00011.jpeg.json,102.00934600830078,396.51486587524414,203.2820053100586,518.4810752868652
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00012.jpeg.json,103.35030364990234,393.9336166381836,202.07202911376953,520.2448501586914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00013.jpeg.json,102.80292129516602,395.19722747802734,203.0589256286621,518.2202835083008
