ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00001.jpeg.json,380.5478515625,713.6651000976562,811.86865234375,1018.8449096679688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00002.jpeg.json,363.887451171875,715.6756134033203,813.218505859375,1014.3635711669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00003.jpeg.json,351.75733947753906,725.4547119140625,806.7575531005859,1019.361083984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00004.jpeg.json,336.3890686035156,726.6689300537109,781.3454284667969,1012.1136627197266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00005.jpeg.json,372.2118377685547,727.3629913330078,807.6066436767578,1019.0926971435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00006.jpeg.json,366.1838684082031,726.3435211181641,795.4998474121094,1017.8416595458984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00007.jpeg.json,378.4453430175781,718.8319091796875,812.1282653808594,1025.354736328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00008.jpeg.json,389.53733825683594,749.4757995605469,830.5819244384766,1025.6101379394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00009.jpeg.json,366.5033416748047,734.4237976074219,793.9281768798828,1016.2776184082031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00010.jpeg.json,391.92811584472656,735.3355865478516,808.5768890380859,1017.3107757568359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00011.jpeg.json,377.2889709472656,703.1012115478516,786.1745300292969,1014.9351654052734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00012.jpeg.json,405.25608825683594,737.0310974121094,820.1742095947266,1031.5956115722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00013.jpeg.json,362.99501037597656,750.1228485107422,817.8541107177734,1024.1037139892578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00014.jpeg.json,378.0424041748047,706.1167297363281,823.3603057861328,1008.7035827636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00015.jpeg.json,371.0382385253906,736.70263671875,829.4047546386719,1023.7574462890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00016.jpeg.json,343.43724060058594,714.2727966308594,785.7141265869141,1017.1501770019531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00017.jpeg.json,386.0100555419922,718.0935668945312,810.4044952392578,1025.3700561523438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00018.jpeg.json,360.20616149902344,716.5721130371094,826.3890533447266,1019.6977844238281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00019.jpeg.json,331.8994140625,727.6810150146484,809.8348388671875,1017.7170562744141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00020.jpeg.json,398.49855041503906,712.138427734375,818.1118011474609,1022.581787109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00021.jpeg.json,341.59434509277344,723.6883544921875,806.8988189697266,1012.2476806640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00022.jpeg.json,333.22496032714844,731.3254089355469,803.6541900634766,1016.7409973144531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00023.jpeg.json,387.4924011230469,715.8482971191406,826.7904357910156,1016.7906188964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00024.jpeg.json,403.4344024658203,726.9579925537109,829.3103485107422,1021.0265045166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00025.jpeg.json,416.7134552001953,705.9306640625,812.9690399169922,1013.4173583984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00026.jpeg.json,364.76219177246094,707.560791015625,813.5598297119141,1008.6873779296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00027.jpeg.json,384.7172546386719,731.8017883300781,831.6610412597656,1019.3669128417969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00028.jpeg.json,375.19044494628906,686.3975067138672,802.5720062255859,1010.9638214111328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00029.jpeg.json,353.06056213378906,730.076171875,815.6723480224609,1016.8355712890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00030.jpeg.json,374.009765625,728.6320953369141,806.416748046875,1017.2310638427734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00031.jpeg.json,373.20802307128906,719.6204833984375,802.2648773193359,1023.78662109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00032.jpeg.json,403.3199768066406,691.2923736572266,793.6031188964844,1015.2733001708984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00033.jpeg.json,430.4007263183594,690.6584777832031,823.7671203613281,1020.1921081542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00034.jpeg.json,399.4014892578125,685.5544281005859,823.5362548828125,1017.5074615478516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00035.jpeg.json,350.5218200683594,724.9317779541016,820.3211975097656,1018.2541351318359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00036.jpeg.json,398.30311584472656,718.1826019287109,830.1833343505859,1022.7119293212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00037.jpeg.json,354.0376281738281,742.4547576904297,797.3846130371094,1019.1457061767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00038.jpeg.json,374.60252380371094,711.9354858398438,820.3888092041016,1011.0296020507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00039.jpeg.json,360.5763397216797,700.3920593261719,806.3261260986328,1010.5847473144531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00040.jpeg.json,345.5364990234375,714.0608978271484,817.352294921875,1015.8344879150391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00041.jpeg.json,344.0658874511719,719.4362945556641,799.3872375488281,1015.1137542724609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00042.jpeg.json,359.87684631347656,728.5422515869141,791.7604827880859,1018.1974945068359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00043.jpeg.json,377.75579833984375,702.025634765625,814.4130249023438,1020.8961181640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00044.jpeg.json,346.66441345214844,727.0335083007812,820.3862457275391,1019.6552124023438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00045.jpeg.json,336.0193786621094,706.4856872558594,786.1861877441406,1009.7962951660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00046.jpeg.json,339.2764129638672,726.9675445556641,783.0532989501953,1016.6279144287109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00047.jpeg.json,387.4237823486328,718.5294036865234,805.0278778076172,1020.9724273681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00048.jpeg.json,372.3236541748047,717.6513824462891,804.3258819580078,1011.2154388427734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00049.jpeg.json,403.6382293701172,745.4626007080078,823.4405059814453,1031.2841033935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00050.jpeg.json,384.4558410644531,748.1379699707031,816.3240661621094,1026.4047546386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00051.jpeg.json,364.81434631347656,747.7721710205078,816.6827239990234,1023.8268280029297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00052.jpeg.json,373.6020202636719,725.2791748046875,785.5122375488281,1020.065673828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00053.jpeg.json,377.95948791503906,718.2330932617188,810.3367767333984,1016.7526245117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00054.jpeg.json,345.781005859375,696.7796478271484,805.0098876953125,1010.7115631103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00055.jpeg.json,333.9543151855469,720.8642272949219,812.2368469238281,1018.2408752441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00056.jpeg.json,343.1360778808594,718.4796752929688,781.8647766113281,1015.7904663085938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00057.jpeg.json,385.8482208251953,722.4347686767578,811.6295623779297,1023.1634979248047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00058.jpeg.json,378.193603515625,717.5337829589844,819.10107421875,1019.9133605957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00059.jpeg.json,350.38279724121094,728.6056213378906,801.4649810791016,1014.5038757324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00060.jpeg.json,367.3230438232422,722.9703216552734,818.3139190673828,1019.6887359619141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00061.jpeg.json,332.8522491455078,745.77587890625,814.0713348388672,1020.8963623046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00062.jpeg.json,392.18614196777344,707.3755187988281,828.0151519775391,1015.8445739746094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00063.jpeg.json,381.50746154785156,713.2249603271484,829.3165130615234,1015.3414459228516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00064.jpeg.json,340.6033935546875,702.0048980712891,802.4212646484375,1009.0781097412109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00065.jpeg.json,387.9541931152344,726.7458038330078,826.2108459472656,1021.9987030029297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00066.jpeg.json,359.19737243652344,721.549560546875,800.7599029541016,1010.773193359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00067.jpeg.json,371.3928680419922,720.3597412109375,817.1419219970703,1014.22119140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__16-abdominal-no-escuro/ann/00068.jpeg.json,342.8622131347656,742.4400634765625,812.7839050292969,1021.356201171875
