ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00001.jpeg.json,319.3509521484375,641.6012725830078,834.1807861328125,1013.7040252685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00002.jpeg.json,322.0148468017578,649.8796691894531,833.2876434326172,1014.7696228027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00003.jpeg.json,329.457275390625,647.0358428955078,830.33056640625,1014.6517791748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00004.jpeg.json,331.7959899902344,647.4558563232422,831.8973693847656,1017.2995147705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00005.jpeg.json,321.2120361328125,657.0844268798828,834.6602783203125,1016.2633514404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00006.jpeg.json,271.356689453125,634.1102142333984,824.8123779296875,1000.8178863525391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00007.jpeg.json,307.3135986328125,640.1734619140625,828.985107421875,1004.9398193359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00008.jpeg.json,328.05035400390625,644.5915679931641,833.3338012695312,1010.5193939208984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00009.jpeg.json,230.74417114257812,618.2160339355469,795.7132263183594,982.4791564941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__20-entrar-agachar-e-para-no-escuro/ann/00010.jpeg.json,306.74017333984375,639.9381561279297,823.9494018554688,1002.4579620361328
