ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00001.jpeg.json,274.811767578125,560.2147674560547,765.0496826171875,1006.0957794189453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00002.jpeg.json,232.56594848632812,575.1367492675781,756.5013122558594,994.2278747558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00003.jpeg.json,261.4057922363281,562.9241027832031,762.7120056152344,1007.4900817871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00004.jpeg.json,233.42031860351562,573.2649078369141,768.5032653808594,1006.9893646240234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00005.jpeg.json,248.62887573242188,540.4332885742188,761.9585266113281,1010.7824096679688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00006.jpeg.json,271.9331817626953,565.5218505859375,762.2388153076172,1002.09326171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00007.jpeg.json,242.70294189453125,579.0419616699219,780.2473754882812,1005.5226135253906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00008.jpeg.json,255.5313720703125,553.3603515625,762.411865234375,1008.3499755859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00009.jpeg.json,268.70411682128906,537.5309600830078,752.9064788818359,1006.5675506591797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00010.jpeg.json,260.04376220703125,553.0042266845703,771.8394165039062,1003.3328094482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00011.jpeg.json,266.93743896484375,553.5954284667969,778.1716918945312,1010.5134582519531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00012.jpeg.json,240.59024047851562,561.9746856689453,765.1492614746094,993.6067352294922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00013.jpeg.json,262.53887939453125,563.2863616943359,776.3247680664062,1013.1244049072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00014.jpeg.json,260.1748962402344,580.5807495117188,767.2597961425781,1002.7094116210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00015.jpeg.json,241.52352905273438,533.1220092773438,755.4360656738281,999.5895385742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00016.jpeg.json,266.5992126464844,536.9000396728516,766.1841125488281,1007.9689788818359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00017.jpeg.json,263.9225158691406,591.9969177246094,771.3905944824219,1008.4244689941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00018.jpeg.json,251.90855407714844,603.1272583007812,762.5351715087891,1003.2964477539062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00019.jpeg.json,258.92803955078125,580.9319915771484,784.9540405273438,1011.1032867431641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00020.jpeg.json,251.31336975097656,568.3544464111328,761.0086517333984,1000.8282928466797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00021.jpeg.json,259.6385803222656,519.6189880371094,754.7541198730469,1000.3891906738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00022.jpeg.json,271.91188049316406,557.6611785888672,764.3094329833984,1005.9272003173828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00023.jpeg.json,257.81988525390625,550.46435546875,756.5538940429688,1000.8642578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00024.jpeg.json,270.8244171142578,588.0333557128906,770.4814910888672,1006.1957702636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00025.jpeg.json,246.63894653320312,575.9883728027344,774.2132263183594,1009.5639953613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00026.jpeg.json,234.98052978515625,580.0374908447266,762.8594360351562,996.1705169677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00027.jpeg.json,250.72384643554688,563.5751800537109,779.4973449707031,1010.3112945556641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00028.jpeg.json,251.26068115234375,560.6439666748047,764.2628784179688,1008.3037872314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00029.jpeg.json,266.1839141845703,543.2054901123047,763.4127655029297,1002.9518585205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00030.jpeg.json,257.1007385253906,535.3850250244141,753.0630798339844,987.0624847412109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00031.jpeg.json,268.1438446044922,566.1582641601562,773.5884552001953,1005.0896606445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00032.jpeg.json,252.33255004882812,537.4834594726562,754.4477233886719,989.4092407226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00033.jpeg.json,259.73388671875,554.8516998291016,771.884521484375,1003.9283294677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00034.jpeg.json,269.5113220214844,573.1440887451172,756.6247863769531,1005.6890411376953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00035.jpeg.json,247.4904022216797,524.8487701416016,742.3609161376953,986.4200286865234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00036.jpeg.json,259.47039794921875,555.9009857177734,768.3952026367188,1007.2085113525391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00037.jpeg.json,251.82249450683594,549.967529296875,761.1103668212891,1003.4903564453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00038.jpeg.json,255.46766662597656,543.2133178710938,741.5212249755859,1000.8119506835938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00039.jpeg.json,270.2178192138672,552.4595947265625,756.8318634033203,997.521728515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00040.jpeg.json,256.0522003173828,513.4405975341797,736.6169891357422,987.9932403564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00041.jpeg.json,276.7568359375,609.9861145019531,787.5267333984375,1016.9207458496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00042.jpeg.json,274.2675323486328,585.5396881103516,770.2567596435547,1008.8537445068359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00043.jpeg.json,247.37557983398438,574.7893371582031,774.7829895019531,1009.1706237792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00044.jpeg.json,262.7900085449219,584.5968475341797,778.6806945800781,1006.5827178955078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00045.jpeg.json,247.32029724121094,517.4442749023438,757.5708160400391,990.6593627929688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00046.jpeg.json,255.28582763671875,545.8370971679688,787.5442504882812,1005.7433471679688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00047.jpeg.json,261.9801025390625,562.0711517333984,779.225341796875,1006.2863922119141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00048.jpeg.json,253.2696990966797,552.8885955810547,748.2200469970703,1002.7648468017578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00049.jpeg.json,265.67645263671875,527.3889923095703,745.0629272460938,1004.5193328857422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00050.jpeg.json,246.9166259765625,534.3450317382812,777.881103515625,992.2328491210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00051.jpeg.json,257.6710510253906,553.1979522705078,771.1322937011719,1004.8545379638672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00052.jpeg.json,271.2036895751953,572.5020294189453,768.7961883544922,1001.0625457763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__22-toalha-na-cabeca-no-escuro/ann/00053.jpeg.json,274.5836181640625,594.2543487548828,786.6900634765625,1017.6373748779297
