ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00001.jpeg.json,342.1061019897461,673.9803237915039,560.5901565551758,889.800651550293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00002.jpeg.json,327.1693649291992,660.6217651367188,550.1077041625977,883.2237854003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00003.jpeg.json,299.1951370239258,655.8496017456055,525.5899887084961,878.4116592407227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00004.jpeg.json,310.2617721557617,657.0534744262695,536.3143081665039,877.7260360717773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00005.jpeg.json,341.26331329345703,669.5478286743164,563.1468124389648,890.5615158081055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00006.jpeg.json,353.48158264160156,680.6623687744141,582.4907989501953,895.1314239501953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00007.jpeg.json,337.0054244995117,672.0504989624023,566.0170059204102,896.5498733520508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00008.jpeg.json,353.20506286621094,670.4510955810547,588.3150482177734,899.4241790771484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00009.jpeg.json,332.28751373291016,660.103874206543,570.0703659057617,891.6933975219727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00010.jpeg.json,296.45845794677734,647.6440200805664,541.8123245239258,873.5648727416992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00011.jpeg.json,316.81463623046875,654.6828994750977,559.7758483886719,885.1423263549805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00012.jpeg.json,320.49793243408203,652.0816421508789,561.4196395874023,886.4077682495117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00013.jpeg.json,351.9003448486328,662.766242980957,610.5373687744141,887.9104843139648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00014.jpeg.json,328.0983123779297,656.5924758911133,569.9969940185547,894.2716293334961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00015.jpeg.json,282.1389465332031,645.8204574584961,539.1480102539062,870.2675247192383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00016.jpeg.json,297.84674072265625,652.6961441040039,544.8622741699219,882.004508972168
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00017.jpeg.json,350.03353118896484,662.1133346557617,597.5403518676758,887.2031021118164
