ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00001.jpeg.json,621.9346809387207,653.2815933227539,677.229061126709,699.5356369018555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00002.jpeg.json,623.9882316589355,652.9165592193604,678.7825813293457,699.5546627044678
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00003.jpeg.json,623.998140335083,652.622896194458,679.5936260223389,700.9211711883545
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00004.jpeg.json,625.8790264129639,653.9705181121826,680.2128772735596,702.0968799591064
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00005.jpeg.json,625.4684810638428,653.3510971069336,680.1477298736572,700.2354507446289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00006.jpeg.json,624.1319847106934,652.6908512115479,679.6521644592285,700.7291469573975
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00007.jpeg.json,625.3896179199219,654.4768409729004,680.2374877929688,702.7577781677246
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00008.jpeg.json,625.6875247955322,652.988431930542,680.1600399017334,699.8859424591064
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00009.jpeg.json,623.9667148590088,652.8005714416504,680.0113887786865,699.526424407959
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00010.jpeg.json,624.5126762390137,654.2525615692139,679.6348915100098,701.537935256958
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00011.jpeg.json,623.804630279541,653.0347328186035,679.406566619873,700.9174461364746
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00012.jpeg.json,626.1806507110596,653.7770347595215,679.9525890350342,700.6411628723145
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00013.jpeg.json,623.3177852630615,652.019567489624,679.4551944732666,698.2257785797119
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__6-andando-com-bengala/ann/00014.jpeg.json,623.2769527435303,653.8740291595459,679.3103427886963,702.4817752838135
